,coefficient,odds_ratio,p_value
(Intercept),-2.38771949515204,0.0918388842663891,3.03566373275695e-07
treatment,-15.5692250944481,1.73129651161984e-07,0.979493564158253
persist_days,0.00836681214049113,1.00840191173547,2.03768637665413e-07
idx_paytype_M,1.75428440887969,5.77931063852164,0.0105819198358263
idx_paytype_R,-14.1028806006988,7.50234058802723e-07,0.981853727858203
idx_spec_01,-1.18968121576011,0.30431826047077,0.0068412876980098
idx_spec_02,-0.955419272733737,0.384650837131421,0.0391511736756549
idx_spec_03,-0.823182555194272,0.439032184582595,0.0166629214170272
idx_spec_04,-0.552224616845944,0.575667744694248,0.109402454440166
num_pre_meds_1,-0.607713317200606,0.544594761812895,0.0256966383885887
num_pre_meds_2,-0.739634658200829,0.47728825702252,4.77777512068075e-06
num_pre_op_dx_1,-0.534371703577842,0.586037379686922,0.0147847898710625
pre_comor4,0.393394906300923,1.48200352631505,0.00961874326823233
pre_comor14,0.466767586017012,1.59483069938523,0.108678375251726
pre_comor15,0.528805982833271,1.69690496485944,0.031036649066378
pre_comor16,0.360086121589802,1.43345286048383,0.0515888739427196
pre_comor19,1.60344433827422,4.97012175737485,0.106018371345604
pre_comor24,-0.798188921592567,0.450143471447656,0.0417680740610153
pre_comor32,1.04976669020181,2.8569844778274,0.0400642807982522
pre_ampyra1,-0.36462445771654,0.694457400031522,0.0888682998485601
pre_mri_any,-0.280667376977277,0.755279517059469,0.083643280925834
pre_90_cort_any,0.457832462678032,1.58064416398661,0.00291096514184301
pre_cort_iv,0.278244869588269,1.32080958371266,0.090704122965886
pre_relapse,0.346168352348293,1.41364058549795,0.0483961428499907
pat_region_MW_interact,0.482205249580064,1.61964218206634,0.0124996725043571
idx_paytype_C_interact,14.984919987545,3220090.38674722,0.980262999517681
idx_paytype_S_interact,14.9491825554031,3107044.6386765,0.980310061001722
age_2_interact,0.363528458864802,1.43839579143415,0.0698577845333004
pchrlson_2_interact,0.622111597403634,1.86285749672634,0.00659545265593954
num_pre_meds_1_interact,-0.781122530075852,0.457891725475241,0.0958717321707011
num_pre_meds_3_interact,-0.350183204545475,0.704558999482855,0.110789625531939
num_pre_op_dx_2_interact,-0.697588408548919,0.497784309840038,0.00961262616785631
pre_comor2_interact,0.398905923901868,1.4901934204304,0.0584972443223534
pre_comor19_interact,-15.7324341403669,1.4705868084999e-07,0.987667680850651
pre_comor24_interact,0.811229650649378,2.25067382835303,0.125561042249813
pre_comor27_interact,-0.685163749322712,0.504007691899075,0.073279559469234
pre_comor30_interact,0.705347581105396,2.02455025805753,0.0431383381209953
