,coefficient based on AUC evaluation,coefficient based on treatment effect evaluation
(Intercept),-3.642208328,-3.587804508
treatment,0,0
persist_days,0.007878945,0.009558814
der_sex_female,0,0.14608304
pat_region_E,0,-0.005312445
pat_region_MW,0,-0.203592498
pat_region_S,0,0.07585782
pat_region_W,0,0.007038651
idx_paytype_C,0,0.038021039
idx_paytype_M,0,1.211918809
idx_paytype_R,0,-1.666105118
idx_paytype_S,0,-0.023822904
idx_paytype_U,0,0
idx_prodtype_D,0,-0.09642693
idx_prodtype_H,0,0
idx_prodtype_I,0,0
idx_prodtype_P,0,0.128049175
idx_prodtype_S,0,-0.355986174
idx_prodtype_U,0,0.520209937
idx_spec_01,0,-0.509126541
idx_spec_02,0,-0.036122743
idx_spec_03,0,0
idx_spec_04,0.071390608,0.123262234
idx_spec_05,0,0.628347364
age_1,0,0
age_2,0,0
age_3,0,0.036164532
age_4,0,-0.130240521
pchrlson_1,-0.109027702,-0.267261197
pchrlson_2,0,0
pchrlson_3,0,0.09366462
num_pre_meds_1,-0.098209327,-0.289034246
num_pre_meds_2,-0.107727766,-0.367112037
num_pre_meds_3,0.020173032,0.142876554
num_pre_meds_4,0.242881349,0.002924685
num_pre_op_dx_1,0,-0.451778647
num_pre_op_dx_2,0,0
num_pre_op_dx_3,0,0.051271445
num_pre_op_dx_4,0.274232618,0.182881626
pre_non_ms_total_allowed_1,0,0.003214546
pre_non_ms_total_allowed_2,0,0
pre_non_ms_total_allowed_3,0,-0.103163618
pre_non_ms_total_allowed_4,0.043799609,0
pre_ms_total_allowed_1,0,-0.008883042
pre_ms_total_allowed_2,0,0.051201055
pre_ms_total_allowed_3,0,-0.117003598
pre_ms_total_allowed_4,0,6.36E-06
pre_rx_any,0,0
pre_comor1,0,0.102318687
pre_comor2,0,-0.325377519
pre_comor3,0,0.025251396
pre_comor4,0.184384228,0.447461962
pre_comor5,0,-0.035756384
pre_comor6,0,0.019895823
pre_comor7,0,0
pre_comor8,0,0.027654213
pre_comor9,0,0.583957
pre_comor10,0,-0.181311456
pre_comor11,0,-0.069161864
pre_comor12,0,0.224813301
pre_comor13,0,0.012879647
pre_comor14,0,0.426715922
pre_comor15,0,0.36923127
pre_comor16,0,0.426607267
pre_comor17,0,0.176459097
pre_comor19,0,0.945254323
pre_comor20,0,-0.833131445
pre_comor22,0,-0.40106504
pre_comor23,0.0911827,0.10400227
pre_comor24,0,-0.770604734
pre_comor25,0,-0.053777502
pre_comor26,0,0
pre_comor27,0,-0.237952852
pre_comor28,0,-0.396535423
pre_comor29,0,0
pre_comor30,0,-0.322025776
pre_comor31,0,0.281657202
pre_comor32,0,0.591044956
pre_comor33,0,0.086359257
pre_ampyra1,0,-0.194397293
pre_mri_any,0,-0.300663913
pre_90_cort_any,0.338219547,0.350212845
pre_cort_oral,0.143198383,0.214753021
pre_cort_iv,0.264607165,0.402654758
pre_relapse,0.369074209,0.2590482
persist_days_interact,-0.001755346,-0.002458355
der_sex_female_interact,0,-0.120245669
pat_region_E_interact,0,0
pat_region_MW_interact,0,0.638212538
pat_region_S_interact,0,-0.125387485
pat_region_W_interact,0,-0.069077119
idx_paytype_C_interact,0,0
idx_paytype_M_interact,0,-1.127275864
idx_paytype_R_interact,0,0
idx_paytype_S_interact,0,0.029467082
idx_paytype_U_interact,0,-0.140510955
idx_prodtype_D_interact,0,0.485114818
idx_prodtype_H_interact,0,-0.323068348
idx_prodtype_I_interact,0,-0.88255954
idx_prodtype_P_interact,0,0
idx_prodtype_S_interact,0,0.496970333
idx_prodtype_U_interact,0,0
idx_spec_01_interact,0,0
idx_spec_02_interact,0,-0.183687728
idx_spec_03_interact,0,-0.281595489
idx_spec_04_interact,0,0
idx_spec_05_interact,0,0
age_1_interact,0,0
age_2_interact,0,0.32473439
age_3_interact,0,-0.057083051
age_4_interact,0,-0.021078589
pchrlson_1_interact,0,0
pchrlson_2_interact,0,0.367808141
pchrlson_3_interact,0,-0.251224448
num_pre_meds_1_interact,0,-0.469094314
num_pre_meds_2_interact,0,0
num_pre_meds_3_interact,0,-0.103764864
num_pre_meds_4_interact,0,0.336259088
num_pre_op_dx_1_interact,0,0
num_pre_op_dx_2_interact,0,-0.538370203
num_pre_op_dx_3_interact,0,0
num_pre_op_dx_4_interact,0,0.144223501
pre_non_ms_total_allowed_1_interact,0,-0.31732223
pre_non_ms_total_allowed_2_interact,0,-0.20703662
pre_non_ms_total_allowed_3_interact,0,0.049272263
pre_non_ms_total_allowed_4_interact,0,0
pre_ms_total_allowed_1_interact,0,0
pre_ms_total_allowed_2_interact,0,-0.14948239
pre_ms_total_allowed_3_interact,0,0.009951722
pre_ms_total_allowed_4_interact,0,-0.127240838
pre_rx_any_interact,0,0.231999317
pre_comor1_interact,0,0.003412412
pre_comor2_interact,0,0.629656741
pre_comor3_interact,0,-0.152615533
pre_comor4_interact,0,-0.246597752
pre_comor5_interact,0,0.020396009
pre_comor6_interact,0,0
pre_comor7_interact,0,0.111065632
pre_comor8_interact,0,0.315205087
pre_comor9_interact,0,-0.683519071
pre_comor10_interact,0,0.32799866
pre_comor11_interact,0,0.130870129
pre_comor12_interact,0,-0.273117256
pre_comor13_interact,0,0.111630349
pre_comor14_interact,0,0
pre_comor15_interact,0,0.368735906
pre_comor16_interact,0,-0.244535874
pre_comor17_interact,0,0
pre_comor19_interact,0,-1.385412072
pre_comor20_interact,0,0
pre_comor22_interact,0,0
pre_comor23_interact,0,0
pre_comor24_interact,0,0.693056582
pre_comor25_interact,0,0
pre_comor26_interact,0,0
pre_comor27_interact,0,-0.504859746
pre_comor28_interact,0,-0.269250857
pre_comor29_interact,0,-0.173181237
pre_comor30_interact,0,1.010642781
pre_comor31_interact,0,-0.07149289
pre_comor32_interact,0,0.417154274
pre_comor33_interact,0,0.177430118
pre_ampyra1_interact,0,-0.238985353
pre_mri_any_interact,0,-0.104346309
pre_90_cort_any_interact,0,0.255654164
pre_cort_oral_interact,0,-0.115173135
pre_cort_iv_interact,0,-0.289263265
pre_relapse_interact,0,0
