k,ntree,bag.fraction,mtry,interaction.depth,AUC_training,AUC_test,Qini_training,Qini_test
1,100,0.1,5,3,0.713762642427346,0.656178786326975,0.0219514030380954,-0.00212141244736733
2,100,0.1,5,5,0.740782230188196,0.664990078094994,0.0228786232478979,0.00136158875342139
3,100,0.1,5,7,0.735211560619639,0.66606228395852,0.0269306783670987,0.000120535771653107
4,100,0.1,5,9,0.735211560619639,0.66606228395852,0.0269306783670987,0.000120535771653107
5,100,0.1,5,11,0.735211560619639,0.66606228395852,0.0269306783670987,0.000120535771653107
6,100,0.1,7,3,0.722767571373704,0.691059083344002,0.0108434648394498,0.00278054693713207
7,100,0.1,7,5,0.729026373063628,0.660904493662783,0.0218142618290539,0.000766048948203318
8,100,0.1,7,7,0.731052362053514,0.64782038151325,0.0214792974600677,-0.00358299077777127
9,100,0.1,7,9,0.731052362053514,0.64782038151325,0.0214792974600677,-0.00358299077777127
10,100,0.1,7,11,0.731052362053514,0.64782038151325,0.0214792974600677,-0.00358299077777127
11,100,0.1,9,3,0.725464089105108,0.676985981308411,0.0191574632374463,0.00316862586079132
12,100,0.1,9,5,0.740583792088081,0.67666912047113,0.0174467319556865,-0.000294671553586444
13,100,0.1,9,7,0.742420944821406,0.671842593778005,0.0206666590516767,0.00174295696721604
14,100,0.1,9,9,0.742420944821406,0.671842593778005,0.0206666590516767,0.00174295696721604
15,100,0.1,9,11,0.742420944821406,0.671842593778005,0.0206666590516767,0.00174295696721604
16,100,0.1,10,3,0.738601011394188,0.680988349763154,0.0134210913327612,0.0011285700619527
17,100,0.1,10,5,0.73909070541544,0.679080783510434,0.0194276763952922,-0.00343314205430535
18,100,0.1,10,7,0.736735053130201,0.682180578671105,0.016554278934225,-0.00162332071624691
19,100,0.1,10,9,0.736735053130201,0.682180578671105,0.016554278934225,-0.00162332071624691
20,100,0.1,10,11,0.736735053130201,0.682180578671105,0.016554278934225,-0.00162332071624691
21,100,0.1,12,3,0.7326334656254,0.655706695685572,0.022602841628675,0.00243273227266043
22,100,0.1,12,5,0.738498591729612,0.679080783510434,0.0180443420862883,0.00543963002571487
23,100,0.1,12,7,0.734310587632826,0.682558251184227,0.0182330272583323,0.00338758061775654
24,100,0.1,12,9,0.734310587632826,0.682558251184227,0.0182330272583323,0.00338758061775654
25,100,0.1,12,11,0.734310587632826,0.682558251184227,0.0182330272583323,0.00338758061775654
26,100,0.3,5,3,0.758609653053386,0.645247087440789,0.0343121736560376,0.00254867049415098
27,100,0.3,5,5,0.801401869158878,0.673137242350531,0.0450882886690378,0.00130883115140075
28,100,0.3,5,7,0.81226155421841,0.692833824094226,0.047440035523928,-0.00219044709033615
29,100,0.3,5,9,0.811733452822942,0.667377736525413,0.0426917085610096,0.00031121987855043
30,100,0.3,5,11,0.818216297529126,0.682510241966458,0.0462649473923181,0.00255787987258218
31,100,0.3,7,3,0.769266099091026,0.671149660734861,0.0338193648241723,-0.00137709477664045
32,100,0.3,7,5,0.805180194597363,0.684413007297401,0.0463541141648807,-0.00126958063774588
33,100,0.3,7,7,0.810405197797977,0.672274676737934,0.044105812188648,0.00291119160790036
34,100,0.3,7,9,0.824254256817309,0.679346434515427,0.0496995458134451,-0.00351588367912527
35,100,0.3,7,11,0.824689540391755,0.672151453078991,0.0494301179514344,0.00498879882576856
36,100,0.3,9,3,0.76319933427218,0.642320125464089,0.0348078381091218,0.00328570633076946
37,100,0.3,9,5,0.815286134937908,0.662533606452439,0.0445103109343164,-0.000708022725033659
38,100,0.3,9,7,0.820560747663551,0.668208295992831,0.0461238797041005,0.00132882049993361
39,100,0.3,9,9,0.822890795032646,0.682830303418256,0.0512271603845379,-0.000974238013172979
40,100,0.3,9,11,0.823985405197798,0.683974523108437,0.0506795950157987,0.000401885852253012
41,100,0.3,10,3,0.758616054282422,0.637424785558827,0.0325475425237695,0.00119731914279962
42,100,0.3,10,5,0.815900652925362,0.669539751632313,0.04299269103749,-0.00154214968309743
43,100,0.3,10,7,0.835213160926898,0.680988349763154,0.0479332726989761,-0.00329921341913523
44,100,0.3,10,9,0.834854692100883,0.666636794264499,0.0511512008601131,0.00178686214345784
45,100,0.3,10,11,0.839799641531174,0.676382665471771,0.0567113095450567,0.00150829629354644
46,100,0.3,12,3,0.76762098322878,0.654589681218794,0.0345084262243119,0.000569796379928982
47,100,0.3,12,5,0.806746895403918,0.666724811163743,0.0414970594240497,0.0013475962094484
48,100,0.3,12,7,0.818502752528485,0.660595634361797,0.0459456175495058,-0.000909058458849782
49,100,0.3,12,9,0.827005184995519,0.673742158494431,0.046568714099487,0.00338843730412223
50,100,0.3,12,11,0.83616374343874,0.674065420560748,0.0505476653154819,0.00380128874185613
51,100,0.5,5,3,0.768864421969018,0.649263858660863,0.0395777250122435,-0.000261974690629135
52,100,0.5,5,5,0.82450710536423,0.676189028293432,0.052519328986126,0.000248467602263368
53,100,0.5,5,7,0.856839713224939,0.674468697990014,0.064407779854449,-0.0014418459877808
54,100,0.5,5,9,0.861739854051978,0.684232172577135,0.0581481867519165,0.000206489970344375
55,100,0.5,5,11,0.863335360389195,0.68382569453335,0.0641427782053277,0.00364822744451885
56,100,0.5,7,3,0.770711176545897,0.647849187043912,0.037144378781021,-0.00165765956140513
57,100,0.5,7,5,0.837178338240942,0.677025988989886,0.0523142953826033,0.00302191832066627
58,100,0.5,7,7,0.865526181026757,0.678845538343362,0.0612526039695991,0.0065256227752926
59,100,0.5,7,9,0.878567084880297,0.67806938932275,0.0642235208952944,0.00175009602026349
60,100,0.5,7,11,0.876718729996159,0.689602803738318,0.0644333376643589,0.00193956648814275
61,100,0.5,9,3,0.784689860453207,0.671632953527077,0.043303239845054,0.0036374474744172
62,100,0.5,9,5,0.831151581103572,0.653770323902189,0.0491483395276517,0.00155584238684244
63,100,0.5,9,7,0.865020483932915,0.681945333504033,0.0623653681681047,0.00253068008047141
64,100,0.5,9,9,0.877758929714505,0.674934387402381,0.0668766785698478,-0.00108931954829783
65,100,0.5,9,11,0.883628856740494,0.684056138778645,0.0647063350528932,0.00245314996437613
66,100,0.5,10,3,0.771682563052106,0.651865958263987,0.0377171450070177,0.00280289217317058
67,100,0.5,10,5,0.835233964921265,0.662927282038151,0.0524577903488569,0.00225489846124851
68,100,0.5,10,7,0.866796824990398,0.682958327998976,0.0642027462509263,0.000425516117840067
69,100,0.5,10,9,0.877982972730764,0.665047689156318,0.0654066047663174,0.00337922792569103
70,100,0.5,10,11,0.88498751760338,0.669629368838817,0.0673399317220967,0.00216016322730888
71,100,0.5,12,3,0.78117078479068,0.658177570093458,0.0374721327064293,0.00470380782811445
72,100,0.5,12,5,0.852422865190116,0.679557675073614,0.0560550163984048,0.00142355573387324
73,100,0.5,12,7,0.866214313148124,0.662146332095762,0.0612090557460096,0.000553804901102699
74,100,0.5,12,9,0.887620023044425,0.657508641659199,0.0669929737439907,-0.000120050316045877
75,100,0.5,12,11,0.888746639354756,0.666161503008578,0.0687440406754686,-0.00244466876935576
76,100,0.7,5,3,0.773265266931251,0.667468954039175,0.0396064953960247,0.0041862264821745
77,100,0.7,5,5,0.835229163999488,0.681332415823838,0.0570618370496864,0.000807241284287089
78,100,0.7,5,7,0.87612981692485,0.683417616182307,0.0700306408156796,0.00328649162660468
79,100,0.7,5,9,0.894190884649853,0.680271412111125,0.0750959417339046,0.00266139614177017
80,100,0.7,5,11,0.897173857380617,0.693954039175522,0.0744116634993068,0.00111379222214449
81,100,0.7,7,3,0.78163167328127,0.666340737421585,0.0431221934597707,0.00387724826628097
82,100,0.7,7,5,0.856023556522852,0.669157278197414,0.0574731178957498,-0.000947038221062204
83,100,0.7,7,7,0.887146332095762,0.69021892203303,0.0683875163662791,-0.000304737618383346
84,100,0.7,7,9,0.900118422737166,0.674055818717194,0.0778993764751068,0.00267817291643167
85,100,0.7,7,11,0.911487005505057,0.673889386762258,0.0801720226222313,1.14510410881077e-05
