,coefficient,odds_ratio,p_value
(Intercept),-1.99409046586661,0.136137419503789,6.57806344898466e-206
treatment,-1.49042062411975,0.225277878298781,0.286669411088223
persist_days,-0.00266181458264893,0.997341724904604,0.0271024496225055
der_sex_female,-0.0804199491979203,0.922728765805157,0.587348687871742
pat_region_E,0.114316253727519,1.12110662297399,0.648242630017952
pat_region_MW,0.32031135816726,1.37755661107175,0.185577174589005
pat_region_S,-0.112861379247259,0.893274477914491,0.645186188204796
pat_region_W,NA,NA,NA
idx_paytype_C,1.24437114812952,3.47075152434243,0.453870610469517
idx_paytype_M,-0.322614178545797,0.724253232904864,0.854503250805438
idx_paytype_R,1.36774443209555,3.92648424794532,0.467643795284401
idx_paytype_S,1.24333688712222,3.4671637170592,0.455222996880483
idx_paytype_U,NA,NA,NA
idx_prodtype_D,1.00584873995688,2.73422693594299,0.435116856494295
idx_prodtype_H,0.45119950092559,1.57019450610525,0.707005104621476
idx_prodtype_I,0.404479306018347,1.49852202548015,0.746556827555406
idx_prodtype_P,0.69117268769749,1.99605491033248,0.560140776998941
idx_prodtype_S,1.00520634787287,2.73247105424611,0.40851168169387
idx_prodtype_U,NA,NA,NA
idx_spec_01,0.0739134778582111,1.07671364189553,0.868551036367796
idx_spec_02,-0.312867436191637,0.731346856267628,0.519747534128952
idx_spec_03,-0.249972538063453,0.778822170742764,0.508819590786456
idx_spec_04,-0.222130710960037,0.800810682760142,0.560245512299655
idx_spec_05,NA,NA,NA
age_1,0.0593313580432431,1.06112679539027,0.786043149116964
age_2,0.0867606629566481,1.09063561897435,0.638134317104436
age_3,0.00999776002566514,1.01004790460025,0.952831556075866
age_4,NA,NA,NA
pchrlson_1,0.241893859796083,1.27365899921569,0.270838231597294
pchrlson_2,0.356446975554133,1.42824579656888,0.113294725768476
pchrlson_3,NA,NA,NA
num_pre_meds_1,-0.373037930675706,0.688639111801736,0.127918791871687
num_pre_meds_2,-0.166156937041589,0.846913311689822,0.382571711961993
num_pre_meds_3,-0.295254689114279,0.744341987520891,0.102538982059477
num_pre_meds_4,NA,NA,NA
num_pre_op_dx_1,-0.0302409475532051,0.970211735239377,0.891657880036441
num_pre_op_dx_2,-0.371397676706375,0.689769581713731,0.0499950742185601
num_pre_op_dx_3,-0.296792024386188,0.743198563467374,0.0778702288235314
num_pre_op_dx_4,NA,NA,NA
pre_non_ms_total_allowed_1,-0.10696087530246,0.898560828223208,0.628004037779246
pre_non_ms_total_allowed_2,-0.130268460189593,0.877859728894417,0.50714897359046
pre_non_ms_total_allowed_3,-0.0413893518121477,0.959455491479829,0.818939900752611
pre_non_ms_total_allowed_4,NA,NA,NA
pre_ms_total_allowed_1,0.209720251036573,1.23333298806727,0.451168474092013
pre_ms_total_allowed_2,0.000835261348441056,1.00083561027634,0.996258325754632
pre_ms_total_allowed_3,0.0995801336968679,1.10470699144834,0.560585215049887
pre_ms_total_allowed_4,NA,NA,NA
pre_rx_any,0.184427748066967,1.20253009302224,0.428846402594846
pre_comor1,-0.0334796657364305,0.967074575780785,0.824811424637579
pre_comor2,0.341763710669696,1.40742769807257,0.0349294088916309
pre_comor3,-0.0487556215859906,0.95241385064766,0.806913289606182
pre_comor4,-0.158447094987703,0.853468115337689,0.367302718819873
pre_comor5,0.0685121040231405,1.07091358723537,0.613694223939546
pre_comor6,0.0085880972196411,1.0086250807234,0.963526750235276
pre_comor7,-0.0965836445289521,0.907933950715896,0.639105332412844
pre_comor8,0.427037992418948,1.53271089201219,0.281342585662467
pre_comor9,-0.884007723236741,0.413123903212189,0.0707588010320884
pre_comor10,0.654754719985563,1.92467037629766,0.0999579530274237
pre_comor11,0.0208378382972738,1.02105646195729,0.903377207332897
pre_comor12,-0.192583069401723,0.824825797572129,0.454844733535194
pre_comor13,0.0447066320069113,1.04572103382342,0.769607325020915
pre_comor14,-0.0327189193301646,0.967810554199876,0.921564753122574
pre_comor15,-0.0741614610789674,0.928521761612029,0.7950838357406
pre_comor16,-0.243779087319931,0.783660735735399,0.246871696936286
pre_comor17,0.158745119161727,1.17203917827892,0.750418716586617
pre_comor19,-1.62255980291553,0.197392765238452,0.0548593467466061
pre_comor20,0.14514909955629,1.15621194810541,0.849415873375639
pre_comor22,0.555194012661301,1.74227897616661,0.564891312395637
pre_comor23,-0.090514145741528,0.913461412220527,0.554416387285871
pre_comor24,0.326398151373841,1.38596708373097,0.229299391661698
pre_comor25,-0.0856152534347369,0.917947340373329,0.581474477264847
pre_comor26,-0.0521158167086103,0.949218925064813,0.89356178350562
pre_comor27,-0.166499147140579,0.846623538985993,0.573937365435557
pre_comor28,-0.420479791772749,0.656731649770642,0.51434257203966
pre_comor29,0.242506415315527,1.27443942506822,0.578620054005146
pre_comor30,0.63106443680494,1.8796102411383,0.0185375739055891
pre_comor31,-0.236818844164334,0.789134231340842,0.276546438825777
pre_comor32,0.421278526027753,1.52390866753213,0.562762246211344
pre_comor33,0.497332341070028,1.64432890594965,0.160694460826384
pre_ampyra1,-0.280146588712587,0.755672960209909,0.209295768709281
pre_mri_any,0.107945194248003,1.11398669083511,0.488839705615973
pre_90_cort_any,0.0846728522247052,1.08836095358609,0.623878341483322
pre_cort_oral,-0.0325192714492858,0.968003794815512,0.836461116548624
pre_cort_iv,-0.20059528835789,0.81824351722973,0.253695670734308
pre_relapse,-0.0136940331749028,0.986399303559529,0.944167811298029
