,coefficient,odds_ratio,p_value
(Intercept),-1.95159301468602,0.142047607329372,4.19022502703337e-231
treatment,-1.35134240846576,0.258892487804164,0.0144318599018559
persist_days,-0.00258313600804457,0.997420197416926,0.0264966950978714
pat_region_MW,0.294615350963233,1.34260982577446,0.0197211530631175
idx_paytype_C,1.65644621901656,5.24065357713855,0.00180926199109545
idx_paytype_R,1.68822253578208,5.40985632812491,0.0954456818063942
idx_paytype_S,1.61172302842454,5.01143864428923,0.00260070031195763
num_pre_op_dx_2,-0.304644881616746,0.737385186937073,0.0355560285626948
num_pre_op_dx_3,-0.283087813369051,0.75345362165368,0.0430194453784444
pre_comor2,0.218998194346053,1.24482902895505,0.131198493752227
pre_comor9,-0.906176177649441,0.404066351690205,0.0533862318601557
pre_comor10,0.583977483625834,1.79315651601305,0.125266765705188
pre_comor19,-1.55994302974831,0.210148043046646,0.0601267665612781
pre_comor30,0.650195706569569,1.91591574962443,0.0108372560702275
