Covariate,Gilenya_relapse,Gilenya_not_relapse,Gilenya_relapse_rate,Tecfidera_relapse,Tecfidera_not_relapse,Tecfidera_relapse_rate,odds_ratio,p_value
non_persistent,32,298,0.096969696969697,25,265,0.0862068965517241,1.13801767405017,0.67790911473414
persistent,223,1596,0.122594832325454,131,748,0.149032992036405,0.797904035385147,0.059395719428867
der_sex_female,196,1430,0.120541205412054,127,775,0.14079822616408,0.836477021801935,0.152685076946404
der_sex_male,59,464,0.112810707456979,29,238,0.108614232209738,1.04349676747254,0.905295206669775
pat_region_E,62,481,0.114180478821363,49,323,0.131720430107527,0.849832694762288,0.47074076956964
pat_region_MW,100,657,0.132100396301189,41,308,0.117478510028653,1.1432980882492,0.560727528621998
pat_region_S,79,644,0.10926694329184,50,280,0.151515151515152,0.687201513157771,0.0548259771963685
pat_region_W,14,112,0.111111111111111,16,102,0.135593220338983,0.797621289981232,0.566270050045042
idx_paytype_C,168,1225,0.120603015075377,109,663,0.14119170984456,0.834261491151927,0.179271039005992
idx_paytype_M,1,7,0.125,2,3,0.4,0.244430378336896,0.510489510489511
idx_paytype_R,0,13,0,0,3,0,0,1
idx_paytype_S,86,645,0.117647058823529,45,344,0.115681233933162,1.01924274864838,1
idx_paytype_U,0,4,0,0,0,NaN,0,1
idx_prodtype_D,2,13,0.133333333333333,3,13,0.1875,0.675379482121072,1
idx_prodtype_H,28,240,0.104477611940299,13,96,0.119266055045872,0.861899566957997,0.715981805131352
idx_prodtype_I,2,40,0.0476190476190476,3,23,0.115384615384615,0.389066540153968,0.362903064889456
idx_prodtype_P,208,1514,0.120789779326365,131,829,0.136458333333333,0.869453315617742,0.24973209906944
idx_prodtype_S,15,84,0.151515151515152,5,49,0.0925925925925926,1.74403486032447,0.451960635765128
idx_prodtype_U,0,3,0,1,3,0.25,0,1
idx_spec_01,17,123,0.121428571428571,7,66,0.0958904109589041,1.30156542060738,0.65353508630045
idx_spec_02,11,89,0.11,7,30,0.189189189189189,0.532394914769345,0.257534512751874
idx_spec_03,97,848,0.102645502645503,73,579,0.111963190184049,0.907316502593688,0.564125768530415
idx_spec_04,119,767,0.13431151241535,65,321,0.16839378238342,0.766340276468532,0.118892016975433
idx_spec_05,11,67,0.141025641025641,4,17,0.19047619047619,0.700488166908799,0.731755355410097
age_1,47,291,0.13905325443787,21,135,0.134615384615385,1.03821546148285,1
age_2,85,578,0.128205128205128,48,262,0.154838709677419,0.802902949167064,0.271281732639646
age_3,82,665,0.109772423025435,55,371,0.129107981220657,0.831912528717809,0.344806120756717
age_4,41,360,0.102244389027431,32,245,0.115523465703971,0.872142468925616,0.615144036503913
pchrlson_1,154,1395,0.0994189799870884,100,695,0.125786163522013,0.767353555115914,0.0579650834836073
pchrlson_2,55,265,0.171875,31,167,0.156565656565657,1.11780470762006,0.715960407570836
pchrlson_3,46,234,0.164285714285714,25,151,0.142045454545455,1.18690904432979,0.596233979557813
num_pre_meds_1,26,345,0.0700808625336927,15,183,0.0757575757575758,0.919559127057039,0.865169116055904
num_pre_meds_2,50,645,0.0719424460431655,31,302,0.0930930930930931,0.755373641721966,0.265597585854569
num_pre_meds_3,73,456,0.137996219281664,46,255,0.152823920265781,0.887575263304739,0.606658139450352
num_pre_meds_4,106,448,0.191335740072202,64,273,0.189910979228487,1.00926724822984,1
num_pre_op_dx_1,19,420,0.0432801822323462,29,329,0.0810055865921788,0.513643423793429,0.0351954117021578
