Model: 1A Detail,Actual Gilenya relapse rate ,Actual Tecfidera relapse rate,Actual difference in relapse rate,Actual summary treatment effect,Expected Gilenya relapse rate ,Expected Tecfidera relapse rate,Expected difference in relapse rate,Expected summary treatment effect,AUC
Training top 50%,0.097,0.217,-0.12,-0.2,0.093,0.237,-0.143,-0.217,0.811
Training bottom 50%,0.138,0.057,0.08,-0.2,0.135,0.061,0.074,-0.217,0.811
Test top 50%,0.149,0.123,0.025,0.048,0.099,0.246,-0.147,-0.238,0.664
Test bottom 50%,0.101,0.124,-0.023,0.048,0.152,0.061,0.091,-0.238,0.664
,,,,,,,,,
,,,,,,,,,
Model: 1A Summary,Actual Gilenya relapse rate ,Actual Tecfidera relapse rate,Actual difference in relapse rate,Actual summary treatment effect,Expected Gilenya relapse rate ,Expected Tecfidera relapse rate,Expected difference in relapse rate,Expected summary treatment effect,AUC
Training top 50%,0.102,0.189,-0.087,-0.139,0.098,0.208,-0.11,-0.168,0.782
Training bottom 50%,0.132,0.08,0.052,-0.139,0.132,0.074,0.058,-0.168,0.782
Test top 50%,0.135,0.101,0.034,0.073,0.1,0.215,-0.115,-0.181,0.661
Test bottom 50%,0.115,0.154,-0.039,0.073,0.145,0.079,0.066,-0.181,0.661
,,,,,,,,,
,,,,,,,,,
Model: 1B Detail,Actual Gilenya relapse rate ,Actual Tecfidera relapse rate,Actual difference in relapse rate,Actual summary treatment effect,Expected Gilenya relapse rate ,Expected Tecfidera relapse rate,Expected difference in relapse rate,Expected summary treatment effect,AUC
Training top 50%,0.105,0.189,-0.084,-0.131,0.101,0.2,-0.099,-0.146,0.787
Training bottom 50%,0.13,0.084,0.046,-0.131,0.131,0.084,0.047,-0.146,0.787
Test top 50%,0.13,0.137,-0.007,-0.012,0.112,0.211,-0.099,-0.151,0.689
Test bottom 50%,0.117,0.111,0.006,-0.012,0.138,0.086,0.052,-0.151,0.689
,,,,,,,,,
,,,,,,,,,
Model: 1B Summary,Actual Gilenya relapse rate ,Actual Tecfidera relapse rate,Actual difference in relapse rate,Actual summary treatment effect,Expected Gilenya relapse rate ,Expected Tecfidera relapse rate,Expected difference in relapse rate,Expected summary treatment effect,AUC
Training top 50%,0.098,0.163,-0.064,-0.093,0.094,0.179,-0.085,-0.117,0.759
Training bottom 50%,0.136,0.107,0.029,-0.093,0.136,0.104,0.033,-0.117,0.759
Test top 50%,0.12,0.121,-0.001,-0.002,0.098,0.183,-0.085,-0.123,0.702
Test bottom 50%,0.127,0.126,0.001,-0.002,0.148,0.109,0.038,-0.123,0.702
,,,,,,,,,
,,,,,,,,,
Model: 1C Detail (AUC),Actual Gilenya relapse rate ,Actual Tecfidera relapse rate,Actual difference in relapse rate,Actual summary treatment effect,Expected Gilenya relapse rate ,Expected Tecfidera relapse rate,Expected difference in relapse rate,Expected summary treatment effect,AUC
Training top 50%,0.147,0.214,-0.068,-0.075,0.149,0.195,-0.046,-0.033,0.747
Training bottom 50%,0.084,0.076,0.007,-0.075,0.08,0.093,-0.013,-0.033,0.747
Test top 50%,0.158,0.171,-0.013,-0.015,0.156,0.201,-0.045,-0.033,0.74
Test bottom 50%,0.085,0.083,0.002,-0.015,0.083,0.095,-0.012,-0.033,0.74
,,,,,,,,,
,,,,,,,,,
Model: 1C Detail (treatment effect),Actual Gilenya relapse rate ,Actual Tecfidera relapse rate,Actual difference in relapse rate,Actual summary treatment effect,Expected Gilenya relapse rate ,Expected Tecfidera relapse rate,Expected difference in relapse rate,Expected summary treatment effect,AUC
Training top 50%,0.117,0.201,-0.085,-0.117,0.126,0.181,-0.054,-0.048,0.762
Training bottom 50%,0.118,0.086,0.032,-0.117,0.104,0.11,-0.006,-0.048,0.762
Test top 50%,0.137,0.16,-0.023,-0.037,0.133,0.188,-0.054,-0.05,0.74
Test bottom 50%,0.108,0.095,0.013,-0.037,0.109,0.113,-0.005,-0.05,0.74
,,,,,,,,,
,,,,,,,,,
Model: 1C Summary (AUC),Actual Gilenya relapse rate ,Actual Tecfidera relapse rate,Actual difference in relapse rate,Actual summary treatment effect,Expected Gilenya relapse rate ,Expected Tecfidera relapse rate,Expected difference in relapse rate,Expected summary treatment effect,AUC
Training top 50%,0.103,0.167,-0.063,-0.087,0.117,0.15,-0.033,-0.027,0.74
