,Estimate,Std..Error,z.value,p-value,odds_ratio
(Intercept),-2.37,0.48,-4.93,0.00,0.09
treatment,-2.82,1.16,-2.43,0.02,0.06
pre_rx_any,0.25,0.15,1.70,0.09,1.28
pre_90_cort_any,0.55,0.16,3.51,0.00,1.73
pre_cort_iv,0.39,0.17,2.29,0.02,1.47
pre_comor8,0.62,0.36,1.72,0.08,1.85
pre_comor9,1.03,0.43,2.39,0.02,2.79
pre_comor12,0.46,0.22,2.11,0.03,1.58
pre_comor14,0.57,0.29,1.97,0.05,1.77
pre_comor15,0.36,0.25,1.48,0.14,1.44
pre_comor17,-1.37,1.07,-1.28,0.20,0.25
pre_comor19,1.76,1.11,1.59,0.11,5.81
pre_comor25,0.26,0.15,1.68,0.09,1.30
pre_comor26,-0.76,0.46,-1.66,0.10,0.47
pre_comor27,-0.70,0.32,-2.20,0.03,0.50
pre_comor30,-0.53,0.30,-1.80,0.07,0.59
pre_comor31,0.46,0.19,2.37,0.02,1.58
pre_relapse,0.72,0.24,3.00,0.00,2.06
persistent,0.48,0.18,2.63,0.01,1.61
pat_region_MW,-0.40,0.23,-1.73,0.08,0.67
idx_prodtype_S,-1.03,0.65,-1.59,0.11,0.36
idx_spec_01,-1.31,0.62,-2.11,0.03,0.27
idx_spec_03,-0.94,0.42,-2.24,0.02,0.39
idx_spec_04,-0.68,0.42,-1.59,0.11,0.51
num_pre_meds_2,-0.41,0.16,-2.63,0.01,0.66
age_1,0.37,0.24,1.57,0.12,1.45
age_2,0.46,0.20,2.28,0.02,1.58
age_3,0.35,0.19,1.82,0.07,1.42
pchrlson_1,-0.24,0.15,-1.60,0.11,0.79
pre_comor2_interact,0.33,0.19,1.78,0.08,1.39
pre_comor16_interact,0.35,0.22,1.57,0.12,1.42
pre_comor17_interact,1.93,1.19,1.62,0.11,6.90
pre_comor19_interact,-14.32,424.12,-0.03,0.97,0.00
pre_comor23_interact,0.27,0.18,1.46,0.14,1.31
pre_relapse_interact,-0.44,0.27,-1.61,0.11,0.64
pat_region_MW_interact,0.74,0.29,2.59,0.01,2.10
idx_prodtype_D_interact,2.03,1.33,1.53,0.13,7.63
idx_prodtype_H_interact,1.49,1.06,1.40,0.16,4.44
idx_prodtype_P_interact,1.77,1.04,1.71,0.09,5.89
idx_prodtype_S_interact,3.26,1.27,2.56,0.01,25.98
idx_spec_01_interact,1.49,0.75,2.00,0.05,4.46
idx_spec_03_interact,0.86,0.52,1.64,0.10,2.36
idx_spec_04_interact,0.78,0.53,1.48,0.14,2.19
pre_non_ms_total_allowed_2_interact,-0.44,0.20,-2.16,0.03,0.64
pre_ms_total_allowed_2_interact,0.28,0.17,1.66,0.10,1.33
num_pre_op_dx_1_interact,-0.85,0.31,-2.76,0.01,0.43
num_pre_op_dx_2_interact,-0.50,0.22,-2.24,0.03,0.61
