lambda_seq,cv_auc_mean,cv_auc_sd,cv_treatment_effect_mean,AUC of training data,AUC of test data
1.126926986,0.517436977,0.024199998,NA,0.532468305,0.543134209
1.026813899,0.532901215,0.032392639,NA,0.532468305,0.543134209
0.935594582,0.532901215,0.032392639,NA,0.532468305,0.543134209
0.852478938,0.532901215,0.032392639,NA,0.532468305,0.543134209
0.776747058,0.532901215,0.032392639,NA,0.532468305,0.543134209
0.707742991,0.52933118,0.033543706,NA,0.532468305,0.543134209
0.644869054,0.531968737,0.033998837,NA,0.532468305,0.543134209
0.587580665,0.531583642,0.032330067,NA,0.550115387,0.560734226
0.535381618,0.535523271,0.03172151,NA,0.550063116,0.559768691
0.48781979,0.534897937,0.031173465,NA,0.551718776,0.559684732
0.444483225,0.534624275,0.031048727,NA,0.551458731,0.559663742
0.40499656,0.534533292,0.03097216,NA,0.551214368,0.559600772
0.369017782,0.549561254,0.03568205,-0.017609608,0.550980459,0.559537803
0.336235259,0.551181699,0.037073184,-0.017609608,0.55099222,0.559495823
0.306365045,0.552827579,0.039176889,-0.017609608,0.550977845,0.559495823
0.279148419,0.552566346,0.039211178,-0.017609608,0.550967391,0.559474833
0.254349643,0.552566346,0.039211178,-0.017609608,0.550979152,0.559432853
0.231753922,0.552553397,0.039219577,-0.017609608,0.550953017,0.559411863
0.211165542,0.554283605,0.040946528,-0.017609608,0.55094779,0.559390874
0.192406177,0.554270599,0.040942137,-0.017609608,0.550945176,0.559390874
0.175313343,0.554257594,0.040937787,-0.017609608,0.552383914,0.559390874
0.159738989,0.554257594,0.040937787,-0.017609608,0.552385221,0.559369884
0.145548217,0.554244588,0.040923031,-0.017609608,0.552382608,0.559369884
0.132618115,0.554257594,0.040938613,-0.017609608,0.554065709,0.559369884
0.120836687,0.554257594,0.040938613,-0.017609608,0.554060482,0.559348894
0.110101889,0.55425765,0.040940659,-0.017609608,0.554061789,0.559348894
0.10032074,0.55425765,0.040940659,-0.017609608,0.554057868,0.559348894
0.091408522,0.554270655,0.040955404,-0.017609608,0.554056562,0.559348894
0.083288041,0.554270655,0.040955404,-0.017609608,0.554056562,0.559348894
0.075888961,0.554270655,0.040955404,-0.017609608,0.554046108,0.559348894
0.069147195,0.554270711,0.040946675,-0.017609608,0.554047414,0.559348894
0.063004349,0.554270711,0.040946675,-0.017609608,0.554040881,0.559348894
0.057407216,0.554270711,0.040946675,-0.017609608,0.554042187,0.559348894
0.057407216,0.554270711,0.040946675,-0.017609608,0.554042187,0.559348894
0.057292171,0.554270711,0.040946675,-0.017609608,0.554042187,0.559348894
0.057177127,0.554270711,0.040946675,-0.017609608,0.554042187,0.559348894
0.057062082,0.554270711,0.040946675,-0.017609608,0.554042187,0.559348894
0.056947038,0.554270711,0.040946675,-0.017609608,0.554042187,0.559348894
0.056831993,0.554270711,0.040946675,-0.017609608,0.554042187,0.559348894
0.056716949,0.554270711,0.040946675,-0.017609608,0.554042187,0.559348894
0.056601904,0.554270711,0.040946675,-0.017609608,0.554042187,0.559348894
0.05648686,0.554270711,0.040946675,-0.017609608,0.554042187,0.559348894
0.056371815,0.554270711,0.040946675,-0.017609608,0.554042187,0.559348894
0.056256771,0.554270711,0.040946675,-0.017609608,0.554042187,0.559348894
0.056141726,0.554270711,0.040946675,-0.017609608,0.554042187,0.559348894
0.056026682,0.554270711,0.040946675,-0.017609608,0.554042187,0.559348894
0.055911637,0.554270711,0.040946675,-0.017609608,0.554042187,0.559348894
0.055796593,0.554270711,0.040946675,-0.017609608,0.554042187,0.559348894
0.055681548,0.554270711,0.040946675,-0.017609608,0.554042187,0.559348894
0.055566504,0.554270711,0.040946675,-0.017609608,0.554042187,0.559348894
0.055451459,0.554270711,0.040946675,-0.017609608,0.554042187,0.559348894
0.055336415,0.554270711,0.040946675,-0.017609608,0.554042187,0.559348894
0.05522137,0.554270711,0.040946675,-0.017609608,0.554042187,0.559348894
0.055106326,0.554270711,0.040946675,-0.017609608,0.554042187,0.559348894
0.054991281,0.554270711,0.040946675,-0.017609608,0.554042187,0.559348894
0.054876237,0.554270711,0.040946675,-0.017609608,0.554042187,0.559348894
0.054761192,0.554270711,0.040946675,-0.017609608,0.554042187,0.559348894
0.054646147,0.554270711,0.040946675,-0.017609608,0.554042187,0.559348894
0.054531103,0.554270711,0.040946675,-0.017609608,0.554042187,0.559348894
0.054416058,0.554270711,0.040946675,-0.017609608,0.554042187,0.559348894
0.054301014,0.554270711,0.040946675,-0.017609608,0.554042187,0.559348894
0.054185969,0.554270711,0.040946675,-0.017609608,0.554042187,0.559348894
0.054070925,0.554270711,0.040946675,-0.017609608,0.554042187,0.559348894
0.05395588,0.554270711,0.040946675,-0.017609608,0.554042187,0.559348894
0.053840836,0.554270711,0.040946675,-0.017609608,0.554042187,0.559348894
0.053725791,0.554270711,0.040946675,-0.017609608,0.554042187,0.559348894
0.053610747,0.554270711,0.040946675,-0.017609608,0.554042187,0.559348894
0.053495702,0.554270711,0.040946675,-0.017609608,0.554042187,0.559348894
0.053380658,0.554270711,0.040946675,-0.017609608,0.554042187,0.559348894
0.053265613,0.554270711,0.040946675,-0.017609608,0.554042187,0.559348894
0.053150569,0.554270711,0.040946675,-0.017609608,0.554042187,0.559348894
0.053035524,0.554270711,0.040946675,-0.017609608,0.554042187,0.559348894
0.05292048,0.554270711,0.040946675,-0.017609608,0.554042187,0.559348894
0.052805435,0.554270711,0.040946675,-0.017609608,0.554042187,0.559348894
0.052690391,0.554270711,0.040946675,-0.017609608,0.554042187,0.559348894
0.052575346,0.554270711,0.040946675,-0.017609608,0.554042187,0.559348894
0.052460302,0.554270711,0.040946675,-0.017609608,0.554042187,0.559348894
0.052345257,0.554270711,0.040946675,-0.017609608,0.554042187,0.559348894
0.052230213,0.554270711,0.040946675,-0.017609608,0.554042187,0.559348894
0.052115168,0.554270711,0.040946675,-0.017609608,0.554042187,0.559348894
0.052000124,0.554270711,0.040946675,-0.017609608,0.554042187,0.559348894
0.051885079,0.554270711,0.040946675,-0.017609608,0.554042187,0.559348894
0.051770034,0.554270711,0.040946675,-0.017609608,0.554042187,0.559348894
0.05165499,0.554270711,0.040946675,-0.017609608,0.554039574,0.559348894
0.051539945,0.554270711,0.040946675,-0.017609608,0.554039574,0.559348894
0.051424901,0.554270711,0.040946675,-0.017609608,0.554039574,0.559348894
