,Group,Gilenya_pat,Gilenya_relapse,Gilenya_relapse_rate,Tecfidera_pat,Tecfidera_relapse,Tecfidera_relapse_rate,actual_treatment,expect_Gilenya_relapse_rate,expect_Tecfidera_relapse_rate,expect_treatment,
training,lowest 35%,634,37,0.06,295,46,0.16,-0.10,0.07,0.21,-0.14,
training,middle 30%,509,43,0.08,288,42,0.15,-0.06,0.11,0.13,-0.02,
training,highest 35%,586,123,0.21,343,38,0.11,0.10,0.18,0.08,0.09,
test,lowest 50%,208,22,0.11,124,10,0.08,0.03,0.08,0.18,-0.10,
test,highest 50%,212,30,0.14,119,20,0.17,-0.03,0.16,0.09,0.07,
,,,,,,,,,,,,
AUC of training data: 0.64,,,,,,,,,,,,
AUC of test data: 0.48,,,,,,,,,,,,
,,,,,,,,,,,,
,summary_actual_treatment_effect,summary_expect_treatment_effect,,,,,,,,,,
Training data,-0.12,-0.17,,,,,,,,,,
Test data,0.05,-0.17,,,,,,,,,,
