,coefficient,odds_ratio,p_value
(Intercept),-2.01346399643427,0.133525341333336,3.96238270026613e-207
pat_region_MW,0.293378679388994,1.34095048460914,0.0191606420418851
idx_prodtype_S,0.578486742007855,1.78333773775846,0.0347313833023875
idx_spec_02,-0.468520398337818,0.625927707149329,0.144077034882036
pchrlson_2,0.284878976843803,1.3296011058617,0.0768472396069891
pre_ms_pharmacy_allowed_1,-0.373346256066175,0.688426819607916,0.0123809191033954
pre_non_ms_medical_allowed_1,-0.285792620731419,0.75141842839427,0.0658628678746477
pre_non_ms_medical_allowed_2,-0.230466268718978,0.79416322269328,0.120895800317521
pre_ms_medical_allowed_3,0.305625326100555,1.35747360132696,0.0310801309192555
pre_rx5,-0.653756406304567,0.520088439292919,0.00787446504801386
pre_rx7,-0.344726510400356,0.708414070857368,0.0463704921703329
pre_rx9,-13.6813790656192,1.1435431769331e-06,0.973540201176324
pre_comor9,-0.790255957334654,0.45372864524357,0.0887828970314397
pre_comor12,0.5110613662698,1.66705961715543,0.0340402139216
pre_comor14,0.515384940412832,1.6742828769084,0.0927533726042383
pre_comor17,0.832933897222871,2.3000569815677,0.056016331518328
pre_comor19,-1.76124428468177,0.171830924162941,0.0503652198735065
pre_comor31,-0.338844063410419,0.712593559835329,0.125589062217087
num_pre_mri_any_1,0.347639546433273,1.41572185576648,0.0651366225493818
num_pre_mri_any_2,0.457326857331297,1.57984518384735,0.00886365276616288
num_pre_mri_any_3,0.5608839857048,1.75222075397639,0.000886774731170193
num_pre_relapses_1,-0.450698897663504,0.637182670487416,0.00393420801113879
num_pre_relapses_2,-0.433834750650602,0.648019331410907,0.00898248849061297
