,Group,Gilenya_pat,Gilenya_relapse,Gilenya_relapse_rate,Tecfidera_pat,Tecfidera_relapse,Tecfidera_relapse_rate,actual_treatment,expect_Gilenya_relapse_rate,expect_Tecfidera_relapse_rate,expect_treatment
training,lowest 35%,633,41,0.06,296,45,0.15,-0.09,0.07,0.21,-0.14
training,middle 30%,484,42,0.09,299,42,0.14,-0.05,0.11,0.13,-0.02
training,highest 35%,612,120,0.20,331,39,0.12,0.08,0.17,0.08,0.09
test,lowest 50%,211,18,0.09,121,11,0.09,-0.01,0.08,0.18,-0.10
test,highest 50%,209,34,0.16,122,19,0.16,0.01,0.17,0.09,0.08
,,,,,,,,,,,
AUC of training data: 0.64,,,,,,,,,,,
AUC of test data: 0.54,,,,,,,,,,,
,,,,,,,,,,,
,summary_actual_treatment_effect,summary_expect_treatment_effect,,,,,,,,,
Training data,-0.12,-0.17,,,,,,,,,
Test data,-0.01,-0.18,,,,,,,,,
