,coefficient,odds_ratio,p_value
(Intercept),-1.97826983528486,0.138308326605823,3.86134481196137e-210
treatment,-1.10389525211288,0.331576988954902,0.116225553545856
pat_region_MW,0.249036013868762,1.28278823040491,0.0496375649277435
idx_paytype_C,0.999824520793624,2.71780486837059,0.152952417130697
idx_paytype_S,1.06416251318682,2.89841058668064,0.129776029672431
idx_prodtype_S,0.565130398293315,1.75967722666908,0.0384966241533713
pchrlson_2,0.27684640008977,1.31896376275949,0.0882176023634487
num_pre_op_dx_2,-0.236116044283975,0.789689029717495,0.1004775244925
pre_non_ms_total_allowed_2,-0.276640120014414,0.758327354847076,0.0498334499989355
pre_ms_total_allowed_1,-0.336695953104317,0.714125934671116,0.0234916564154882
pre_ms_total_allowed_3,-0.263286973239025,0.768521320610234,0.0745290954778043
pre_comor2,0.220603862896242,1.24682941732778,0.13982048995444
pre_comor4,-0.248963944356799,0.779608082148804,0.151659303080434
pre_comor9,-0.820619958566637,0.440158689750932,0.0790262152438961
pre_comor12,0.40931419833594,1.50578476123362,0.0883915422096811
pre_comor14,0.454074623749846,1.57471550426644,0.139232564080631
pre_comor17,0.768896574282039,2.15738442648212,0.0748606508746903
pre_comor19,-1.62817400025588,0.196287668319585,0.0649335590280407
pre_cort_oral,0.234403550515919,1.26415453950255,0.0655652159512581
