,Group,Gilenya_pat,Gilenya_relapse,Gilenya_relapse_rate,Tecfidera_pat,Tecfidera_relapse,Tecfidera_relapse_rate,actual_treatment,expect_Gilenya_relapse_rate,expect_Tecfidera_relapse_rate,expect_treatment
training,lowest 35%,635,36,0.06,294,39,0.13,-0.08,0.08,0.19,-0.11
training,middle 30%,518,49,0.09,279,42,0.15,-0.06,0.11,0.13,-0.02
training,highest 35%,576,118,0.20,353,45,0.13,0.08,0.17,0.09,0.07
test,lowest 50%,225,19,0.08,124,12,0.10,-0.01,0.09,0.17,-0.09
test,highest 50%,195,33,0.17,119,18,0.15,0.02,0.15,0.10,0.05
,,,,,,,,,,,
AUC of training data: 0.62,,,,,,,,,,,
AUC of test data: 0.53,,,,,,,,,,,
,,,,,,,,,,,
,summary_actual_treatment_effect,summary_expect_treatment_effect,,,,,,,,,
Training data,-0.13,-0.14,,,,,,,,,
Test data,-0.03,-0.14,,,,,,,,,
