,coefficient based on AUC evaluation,coefficient based on treatment effect evaluation
(Intercept),-1.942008863,-1.930634777
treatment,0,0
persist_days,-0.000273338,-0.000797143
der_sex_female,0,0
pat_region_E,0,0
pat_region_MW,0,0.000783912
pat_region_S,0,0
pat_region_W,0,0
idx_paytype_C,0,0
idx_paytype_M,0,0
idx_paytype_R,0,0
idx_paytype_S,0,0
idx_paytype_U,0,0
idx_prodtype_D,0,0
idx_prodtype_H,0,0
idx_prodtype_I,0,0
idx_prodtype_P,0,0
idx_prodtype_S,0,0
idx_prodtype_U,0,0
idx_spec_01,0,0
idx_spec_02,0,0
idx_spec_03,0,0
idx_spec_04,0,0
idx_spec_05,0,0
age_1,0,0
age_2,0,0
age_3,0,0
age_4,0,0
pchrlson_1,0,-0.016002674
pchrlson_2,0,0
pchrlson_3,0,0
num_pre_meds_1,0,0
num_pre_meds_2,0,0
num_pre_meds_3,0,0
num_pre_meds_4,0,0
num_pre_op_dx_1,0,0
num_pre_op_dx_2,0,0
num_pre_op_dx_3,0,0
num_pre_op_dx_4,0,0.082088273
pre_non_ms_pharmacy_allowed_1,0,0
pre_non_ms_pharmacy_allowed_2,0,0
pre_non_ms_pharmacy_allowed_3,0,0
pre_non_ms_pharmacy_allowed_4,0,0
pre_ms_pharmacy_allowed_1,0,0
pre_ms_pharmacy_allowed_2,0,0
pre_ms_pharmacy_allowed_3,0,0
pre_ms_pharmacy_allowed_4,0,0
pre_non_ms_medical_allowed_1,0,0
pre_non_ms_medical_allowed_2,0,0
pre_non_ms_medical_allowed_3,0,0
pre_non_ms_medical_allowed_4,0,0.043843083
pre_ms_medical_allowed_1,0,0
pre_ms_medical_allowed_2,0,0
pre_ms_medical_allowed_3,0,0.065635116
pre_ms_medical_allowed_4,0,0
pre_rx2,0,0
pre_rx3,0,0
pre_rx4,0,0
pre_rx5,0,0
pre_rx6,0,0
pre_rx7,0,0
pre_rx8,0,0
pre_rx9,0,0
pre_rx11,0,0
pre_comor1,0,0
pre_comor2,0,0
pre_comor3,0,0
pre_comor4,0,0
pre_comor5,0,0
pre_comor6,0,0
pre_comor7,0,0
pre_comor8,0,0
pre_comor9,0,0
pre_comor10,0,0
pre_comor11,0,0
pre_comor12,0,0
pre_comor13,0,0
pre_comor14,0,0
pre_comor15,0,0
pre_comor16,0,0
pre_comor17,0,0
pre_comor19,0,0
pre_comor20,0,0
pre_comor22,0,0
pre_comor23,0,0
pre_comor24,0,0
pre_comor25,0,0
pre_comor26,0,0
pre_comor27,0,0
pre_comor28,0,0
pre_comor29,0,0
pre_comor30,0,0
pre_comor31,0,0
pre_comor32,0,0
pre_comor33,0,0
pre_ampyra1,0,0
pre_90_mri_any,0,0
num_pre_mri_any_1,0,0
num_pre_mri_any_2,0,0
num_pre_mri_any_3,0,0.021504058
num_pre_mri_any_4,0,0
pre_90_cort_any,0,0
num_pre_cort_oral_1,0,-0.018324461
num_pre_cort_oral_2,0,0
num_pre_cort_oral_3,0,0
num_pre_cort_iv_1,0,0
num_pre_cort_iv_2,0,0
num_pre_cort_iv_3,0,0
pre_relapse_90,0,0
pre_ip_relapse,0,0
num_pre_relapses_1,0,0
num_pre_relapses_2,0,0
num_pre_relapses_3,0,0.059646845
