lambda,average CV_AUC,average CV_treatment_effect,AUC of training data,AUC of test data,
1.526763914,0.4873,-0.0317,0.5000,0.5000,
1.525763914,0.4873,-0.0317,0.5170,0.5101,
1.524763914,0.4873,-0.0317,0.5170,0.5101,
1.523763914,0.4873,-0.0317,0.5170,0.5101,
1.522763914,0.4873,-0.0317,0.5170,0.5101,
1.521763914,0.4873,-0.0317,0.5170,0.5101,
1.520763914,0.4873,-0.0317,0.5170,0.5101,
1.519763914,0.4873,-0.0317,0.5170,0.5101,
1.518763914,0.4873,-0.0317,0.5170,0.5101,
1.517763914,0.4873,-0.0317,0.5170,0.5101,
1.516763914,0.4873,-0.0317,0.5170,0.5101,
1.515763914,0.4873,-0.0317,0.5170,0.5101,
1.514763914,0.4873,-0.0317,0.5170,0.5101,
1.513763914,0.4873,-0.0317,0.5170,0.5101,
1.512763914,0.4873,-0.0317,0.5170,0.5101,
1.511763914,0.4873,-0.0317,0.5170,0.5101,
1.510763914,0.4873,-0.0317,0.5170,0.5101,
1.509763914,0.4890,0.0050,0.5170,0.5101,
1.508763914,0.4890,0.0050,0.5170,0.5101,
1.507763914,0.4890,0.0050,0.5170,0.5101,
1.506763914,0.4890,0.0050,0.5170,0.5101,
1.505763914,0.4890,0.0050,0.5170,0.5101,
1.504763914,0.4890,0.0050,0.5170,0.5101,
1.503763914,0.4890,0.0050,0.5170,0.5101,
1.502763914,0.4890,0.0050,0.5170,0.5101,
1.501763914,0.4890,0.0050,0.5170,0.5101,
1.500763914,0.4890,0.0050,0.5170,0.5101,
1.499763914,0.4890,0.0050,0.5170,0.5101,
1.498763914,0.4890,0.0050,0.5170,0.5101,
1.497763914,0.4890,0.0050,0.5170,0.5101,
1.496763914,0.4890,0.0050,0.5170,0.5101,
1.495763914,0.4890,0.0050,0.5170,0.5101,
1.494763914,0.4890,0.0050,0.5170,0.5101,
1.493763914,0.4890,0.0050,0.5170,0.5101,
1.492763914,0.4890,0.0050,0.5170,0.5101,
1.491763914,0.4890,0.0050,0.5170,0.5101,
1.490763914,0.4890,0.0050,0.5170,0.5101,
