,coefficient based on AUC evaluation,coefficient based on treatment effect evaluation
(Intercept),-1.939697187,-1.945402802
treatment,0,0
persistent,0,0
der_sex_female,0,-0.072418097
pat_region_E,0,0
pat_region_MW,0.044072182,0.123626265
pat_region_S,-0.060662664,-0.098104427
pat_region_W,0,0
idx_paytype_C,0,0
idx_paytype_M,0,0
idx_paytype_R,0,0
idx_paytype_S,0,0
idx_paytype_U,0,0
idx_prodtype_D,0,0
idx_prodtype_H,0,0
idx_prodtype_I,0,0
idx_prodtype_P,0,0
idx_prodtype_S,0,0.125469576
idx_prodtype_U,0,0
idx_spec_01,0,0
idx_spec_02,0,0
idx_spec_03,0,0
idx_spec_04,0,0
idx_spec_05,0,0
age_1,0,0
age_2,0,0
age_3,0,0
age_4,0,0
pchrlson_1,-0.123020827,-0.13707618
pchrlson_2,0,0.02222891
pchrlson_3,0,0
num_pre_meds_1,0,0
num_pre_meds_2,-0.067333146,-0.111745928
num_pre_meds_3,0,0
num_pre_meds_4,0,0
num_pre_op_dx_1,0,0
num_pre_op_dx_2,-0.046469628,-0.114200687
num_pre_op_dx_3,0,0
num_pre_op_dx_4,0.126422756,0.132338852
pre_non_ms_total_allowed_1,0,0
pre_non_ms_total_allowed_2,-0.09469415,-0.165717406
pre_non_ms_total_allowed_3,0,0
pre_non_ms_total_allowed_4,0,0
pre_ms_total_allowed_1,-0.035533075,-0.127431687
pre_ms_total_allowed_2,0.070683089,0.103128815
pre_ms_total_allowed_3,0,-0.091390894
pre_ms_total_allowed_4,0,0
pre_rx_any,0,0
pre_comor1,0,-0.012473258
pre_comor2,0,0.057215927
pre_comor3,0,0.051044782
pre_comor4,0,-0.074466095
pre_comor5,0,0
pre_comor6,0,0.028980351
pre_comor7,0,0
pre_comor8,0,0
pre_comor9,0,0
pre_comor10,0,0
pre_comor11,0,0
pre_comor12,0,0.112803687
pre_comor13,0,0
pre_comor14,0,0
pre_comor15,0,0
pre_comor16,0,0.048945699
pre_comor17,0,0
pre_comor19,0,0
pre_comor20,0,0
pre_comor22,0,0
pre_comor23,0,0.029542964
pre_comor24,0,0
pre_comor25,0,0
pre_comor26,0,0
pre_comor27,0,0
pre_comor28,0,0
pre_comor29,0,0
pre_comor30,0,0
pre_comor31,0,-0.016646581
pre_comor32,0,0
pre_comor33,0,0
pre_ampyra1,0,0
pre_mri_any,0,0.084125779
pre_90_cort_any,0,0
pre_cort_oral,0.081254744,0.141046871
pre_cort_iv,0,0.018958002
pre_relapse,0,0
