lambda,average CV_AUC,average CV_treatment_effect,AUC of training data,AUC of test data,
0.012741478,0.4958,NA,0.5000,0.5000,
0.012641478,0.4958,NA,0.5428,0.5338,
0.012541478,0.4958,NA,0.5428,0.5338,
0.012441478,0.4958,NA,0.5428,0.5338,
0.012341478,0.4958,NA,0.5428,0.5338,
0.012241478,0.4958,NA,0.5428,0.5338,
0.012141478,0.4958,NA,0.5428,0.5338,
0.012041478,0.4958,NA,0.5428,0.5338,
0.011941478,0.4958,NA,0.5428,0.5338,
0.011841478,0.4958,NA,0.5428,0.5338,
0.011741478,0.4958,NA,0.5428,0.5338,
0.011641478,0.4958,NA,0.5428,0.5338,
0.011541478,0.4958,NA,0.5428,0.5338,
0.011441478,0.4958,NA,0.5428,0.5338,
0.011341478,0.4958,NA,0.5428,0.5338,
0.011241478,0.4958,NA,0.5428,0.5338,
0.011141478,0.4958,NA,0.5428,0.5338,
0.011041478,0.4958,NA,0.5428,0.5338,
0.010941478,0.4958,NA,0.5428,0.5338,
0.010841478,0.4958,NA,0.5428,0.5338,
0.010741478,0.4958,NA,0.5428,0.5338,
0.010641478,0.4958,NA,0.5428,0.5338,
0.010541478,0.5065,NA,0.5428,0.5338,
0.010441478,0.5065,NA,0.5428,0.5338,
0.010341478,0.5065,NA,0.5428,0.5338,
0.010241478,0.5039,NA,0.5428,0.5338,
0.010141478,0.5039,NA,0.5428,0.5338,
0.010041478,0.5155,-0.0081,0.5428,0.5338,
0.009941478,0.5155,-0.0081,0.5428,0.5338,
0.009841478,0.5155,-0.0081,0.5428,0.5338,
0.009741478,0.5155,-0.0081,0.5428,0.5338,
0.009641478,0.5155,-0.0081,0.5428,0.5338,
0.009541478,0.5155,-0.0081,0.5428,0.5338,
0.009441478,0.5155,-0.0081,0.5428,0.5338,
0.009341478,0.5191,-0.0234,0.5428,0.5338,
0.009241478,0.5191,-0.0234,0.5428,0.5338,
0.009141478,0.5191,-0.0234,0.5428,0.5338,
0.009041478,0.5191,-0.0234,0.5428,0.5338,
0.008941478,0.5191,-0.0234,0.5428,0.5338,
0.008841478,0.5187,-0.0234,0.5428,0.5338,
0.008741478,0.5187,-0.0234,0.5428,0.5338,
0.008641478,0.5187,-0.0234,0.5428,0.5338,
