covariate_name	Group1_Mean	Group1_SD	Group5_Mean	Group5_SD	Difference_between_Group	p_value	var_description
persist_days	166.49785741215	6.16962654880986	136.919882794439	14.90309772739	29.577974617711	7.99444241145249e-22	Days persistent, equal to 180 where persistent = 1
num_pre_meds_3	0.338704825341312	0.0880561921720849	0.171372611278073	0.0609478409599422	0.167332214063239	1.00366468969537e-14	Number of unique medications received pre-index: 8-11
pat_region_MW	0.255297867717145	0.0784409978526488	0.432546468730853	0.125020958983496	-0.177248601013708	9.62478893935845e-13	Region: Midwest
pre_ms_total_allowed_4	0.299324164224831	0.0615232242285329	0.212866574361168	0.0603006262034599	0.0864575898636634	5.64631607408656e-10	MS-related total pre-index costs: highest 25%
pre_comor9	0.0243742967317588	0.0112194368520599	0.0114358437974797	0.0077769598523726	0.0129384529342791	4.97289535893742e-09	Boolean for pre-index symptoms and comorbidities: Speech disorders
idx_paytype_C	0.623816176272573	0.0743913664053893	0.692641817089611	0.0597191164047157	-0.0688256408170383	6.66408969708571e-08	Index Payer type: Commercial
idx_prodtype_P	0.822967210620751	0.0308861851879149	0.783952786804112	0.0425518204007055	0.0390144238166394	1.4980968648578e-07	Index Provider type: Preferred Provided Organization
pre_comor31	0.133170243966142	0.0484121799232522	0.0801404512836402	0.0375966684541778	0.0530297926825013	1.9928852633867e-07	Boolean for pre-index symptoms and comorbidities: Tobacco use (including disorder)
idx_prodtype_H	0.094329578962793	0.0236059750233981	0.130511208061758	0.0391534453073742	-0.0361816290989652	4.40049414318871e-07	Index Provider type: Health Maintenance Organization
idx_paytype_S	0.357894011638132	0.0722956765217776	0.293230051607808	0.0588333912008035	0.064663960030324	8.44962289310446e-07	Index Payer type: Self-insured
pre_non_ms_total_allowed_3	0.281555627883146	0.0483519717736348	0.234327183162896	0.0493036487843379	0.0472284447202503	1.24253019827565e-06	Total non-ms pre-index costs: middle upper 25%
pat_region_S	0.368354278349621	0.0870785764075804	0.247074039140744	0.0877460610085622	0.121280239208878	1.58665630395119e-06	Region: South
pre_comor5	0.392078967462342	0.0743906393102118	0.309051338744916	0.0771563112525472	0.0830276287174257	1.58665630395119e-06	Boolean for pre-index symptoms and comorbidities: Fatigue
pre_comor1	0.309813644324622	0.0830685883647398	0.195059157377566	0.0831812449407692	0.114754486947056	4.2249094050057e-06	Boolean for pre-index symptoms and comorbidities: Numbness
pre_ms_total_allowed_1	0.204671430798095	0.0552316249848659	0.263277255078945	0.0675925169885104	-0.05860582428085	1.08250878154077e-05	MS-related total pre-index costs: lowest 25%
idx_prodtype_I	0.0172193851069698	0.00744593215899931	0.0231217846069235	0.00839897692672791	-0.0059023994999537	1.47781595794924e-05	Index Provider type: Indemnity
pat_region_W	0.0817227054528349	0.0313416146035517	0.0577645860499824	0.0219792516149985	0.0239581194028525	2.20904969985855e-05	Region: West
pre_comor2	0.294316324494196	0.0813800282337917	0.222675856747214	0.0773297258894495	0.0716404677469815	2.66914980318127e-05	Boolean for pre-index symptoms and comorbidities: Walking (Gait), Balance, and Coordination Problems
pre_comor33	0.0429702271306269	0.0168071425275356	0.0270838764163814	0.0143027514292195	0.0158863507142455	3.04214565473388e-05	Boolean for pre-index symptoms and comorbidities: Valvular disease
age_3	0.322829542611019	0.0526504895958773	0.368970366731471	0.0576282639705662	-0.0461408241204523	3.77796727853342e-05	Aged 45-54
pre_comor4	0.258965876744416	0.0899034872715926	0.151180269058628	0.0819454978953005	0.107785607685788	5.33123113883228e-05	Boolean for pre-index symptoms and comorbidities: Muscle weakness/spasm/spasticity
pre_comor27	0.0863190624554235	0.0288541355761125	0.0550992758458986	0.0254434147460291	0.031219786609525	5.33123113883228e-05	Boolean for pre-index symptoms and comorbidities: History of CVD
pre_comor8	0.0309020587214947	0.00976002077200931	0.0232947315672557	0.00959230319596771	0.00760732715423897	0.000105036069359931	Boolean for pre-index symptoms and comorbidities: Hearing Loss
pre_comor19	0.00378824138202393	0.00299271171592496	0.00519713043118941	0.00304786823345548	-0.00140888904916548	0.000346619351134667	Boolean for pre-index symptoms and comorbidities: Other emotional change
pre_comor30	0.0702984918053889	0.0178298471021597	0.0547765760961443	0.0181743759154566	0.0155219157092445	0.000593607219746074	Boolean for pre-index symptoms and comorbidities: Obesity
num_pre_op_dx_1	0.114782591763439	0.0780657051965198	0.177647963973599	0.102160009586834	-0.0628653722101601	0.000911118877153713	Number of pre-index OP visits with an MS diagnosis: 0-4
num_pre_op_dx_3	0.323517752579494	0.0839987344418289	0.278984819495158	0.0800527295889807	0.0445329330843361	0.000911118877153713	Number of pre-index OP visits with an MS diagnosis: 8-12
pre_comor12	0.0995176373981824	0.0491616264460487	0.0687495954301611	0.0446993758837534	0.0307680419680214	0.00122717228639911	Boolean for pre-index symptoms and comorbidities: Pain
pre_rx_any	0.725738149487721	0.0519766633048445	0.689076520769377	0.0609739809614869	0.0366616287183447	0.0013742758758317	Boolean for pre-index DMT use (max of pre_rx1-pre_rx11)
idx_paytype_M	0.00754749496322294	0.0036569417212846	0.00555637953099376	0.00352522405677594	0.00199111543222919	0.00145675309428891	Index Payer type: Medicare
