ntree=50; bag.fraction=0.1; mtry=5; interaction.depth=3,,,,,,,,,
Gilenya_relapse_rate,Tecfidera_relapse_rate,actual_treatment,summary_actual_treatment_effect,expect_Gilenya_relapse_rate,expect_Tecfidera_relapse_rate,expect_treatment,summary_expect_treatment_effect,AUC,Qini
0.101,0.152,-0.050,-0.059,0.108,0.142,-0.034,-0.029,0.706,0.012
0.133,0.125,0.008,-0.059,0.126,0.131,-0.005,-0.029,0.706,0.012
0.112,0.139,-0.027,-0.015,0.107,0.142,-0.035,-0.030,0.677,0.002
0.124,0.136,-0.012,-0.015,0.126,0.131,-0.004,-0.030,0.677,0.002
,,,,,,,,,
,,,,,,,,,
ntree=50; bag.fraction=0.1; mtry=5; interaction.depth=5,,,,,,,,,
Gilenya_relapse_rate,Tecfidera_relapse_rate,actual_treatment,summary_actual_treatment_effect,expect_Gilenya_relapse_rate,expect_Tecfidera_relapse_rate,expect_treatment,summary_expect_treatment_effect,AUC,Qini
0.077,0.169,-0.092,-0.144,0.102,0.146,-0.044,-0.047,0.719,0.016
0.163,0.112,0.052,-0.144,0.133,0.130,0.003,-0.047,0.719,0.016
0.105,0.135,-0.030,-0.023,0.103,0.147,-0.044,-0.045,0.650,0.000
0.132,0.140,-0.007,-0.023,0.130,0.129,0.001,-0.045,0.650,0.000
,,,,,,,,,
,,,,,,,,,
ntree=50; bag.fraction=0.1; mtry=5; interaction.depth=7,,,,,,,,,
Gilenya_relapse_rate,Tecfidera_relapse_rate,actual_treatment,summary_actual_treatment_effect,expect_Gilenya_relapse_rate,expect_Tecfidera_relapse_rate,expect_treatment,summary_expect_treatment_effect,AUC,Qini
0.065,0.147,-0.082,-0.124,0.103,0.142,-0.040,-0.045,0.703,0.018
0.171,0.130,0.041,-0.124,0.135,0.130,0.005,-0.045,0.703,0.018
0.095,0.127,-0.031,-0.025,0.103,0.143,-0.040,-0.044,0.646,0.001
0.141,0.148,-0.007,-0.025,0.134,0.130,0.005,-0.044,0.646,0.001
,,,,,,,,,
,,,,,,,,,
ntree=50; bag.fraction=0.1; mtry=5; interaction.depth=9,,,,,,,,,
Gilenya_relapse_rate,Tecfidera_relapse_rate,actual_treatment,summary_actual_treatment_effect,expect_Gilenya_relapse_rate,expect_Tecfidera_relapse_rate,expect_treatment,summary_expect_treatment_effect,AUC,Qini
0.065,0.147,-0.082,-0.124,0.103,0.142,-0.040,-0.045,0.703,0.018
0.171,0.130,0.041,-0.124,0.135,0.130,0.005,-0.045,0.703,0.018
0.095,0.127,-0.031,-0.025,0.103,0.143,-0.040,-0.044,0.646,0.001
0.141,0.148,-0.007,-0.025,0.134,0.130,0.005,-0.044,0.646,0.001
,,,,,,,,,
,,,,,,,,,
ntree=50; bag.fraction=0.1; mtry=5; interaction.depth=11,,,,,,,,,
Gilenya_relapse_rate,Tecfidera_relapse_rate,actual_treatment,summary_actual_treatment_effect,expect_Gilenya_relapse_rate,expect_Tecfidera_relapse_rate,expect_treatment,summary_expect_treatment_effect,AUC,Qini
0.065,0.147,-0.082,-0.124,0.103,0.142,-0.040,-0.045,0.703,0.018
0.171,0.130,0.041,-0.124,0.135,0.130,0.005,-0.045,0.703,0.018
0.095,0.127,-0.031,-0.025,0.103,0.143,-0.040,-0.044,0.646,0.001
0.141,0.148,-0.007,-0.025,0.134,0.130,0.005,-0.044,0.646,0.001
,,,,,,,,,
,,,,,,,,,
ntree=50; bag.fraction=0.1; mtry=7; interaction.depth=3,,,,,,,,,
Gilenya_relapse_rate,Tecfidera_relapse_rate,actual_treatment,summary_actual_treatment_effect,expect_Gilenya_relapse_rate,expect_Tecfidera_relapse_rate,expect_treatment,summary_expect_treatment_effect,AUC,Qini
0.054,0.119,-0.065,-0.094,0.103,0.138,-0.036,-0.038,0.719,0.011
0.186,0.157,0.029,-0.094,0.138,0.136,0.002,-0.038,0.719,0.011
0.085,0.109,-0.024,-0.011,0.102,0.137,-0.035,-0.037,0.678,0.001
0.153,0.165,-0.012,-0.011,0.139,0.137,0.002,-0.037,0.678,0.001
,,,,,,,,,
,,,,,,,,,
ntree=50; bag.fraction=0.1; mtry=7; interaction.depth=5,,,,,,,,,
Gilenya_relapse_rate,Tecfidera_relapse_rate,actual_treatment,summary_actual_treatment_effect,expect_Gilenya_relapse_rate,expect_Tecfidera_relapse_rate,expect_treatment,summary_expect_treatment_effect,AUC,Qini
0.068,0.159,-0.092,-0.142,0.105,0.149,-0.044,-0.045,0.724,0.020
0.168,0.118,0.050,-0.142,0.133,0.133,0.001,-0.045,0.724,0.020
0.086,0.120,-0.034,-0.033,0.104,0.148,-0.044,-0.044,0.656,0.004
0.152,0.153,-0.001,-0.033,0.134,0.134,0.000,-0.044,0.656,0.004
,,,,,,,,,
,,,,,,,,,
ntree=50; bag.fraction=0.1; mtry=7; interaction.depth=7,,,,,,,,,
Gilenya_relapse_rate,Tecfidera_relapse_rate,actual_treatment,summary_actual_treatment_effect,expect_Gilenya_relapse_rate,expect_Tecfidera_relapse_rate,expect_treatment,summary_expect_treatment_effect,AUC,Qini
0.075,0.140,-0.065,-0.086,0.101,0.147,-0.046,-0.056,0.714,0.019
0.158,0.137,0.021,-0.086,0.140,0.130,0.010,-0.056,0.714,0.019
0.081,0.110,-0.029,-0.017,0.100,0.145,-0.045,-0.055,0.641,0.004
0.154,0.166,-0.012,-0.017,0.141,0.131,0.010,-0.055,0.641,0.004
,,,,,,,,,
,,,,,,,,,
ntree=50; bag.fraction=0.1; mtry=7; interaction.depth=9,,,,,,,,,
Gilenya_relapse_rate,Tecfidera_relapse_rate,actual_treatment,summary_actual_treatment_effect,expect_Gilenya_relapse_rate,expect_Tecfidera_relapse_rate,expect_treatment,summary_expect_treatment_effect,AUC,Qini
0.075,0.140,-0.065,-0.086,0.101,0.147,-0.046,-0.056,0.714,0.019
0.158,0.137,0.021,-0.086,0.140,0.130,0.010,-0.056,0.714,0.019
0.081,0.110,-0.029,-0.017,0.100,0.145,-0.045,-0.055,0.641,0.004
0.154,0.166,-0.012,-0.017,0.141,0.131,0.010,-0.055,0.641,0.004
,,,,,,,,,
,,,,,,,,,
ntree=50; bag.fraction=0.1; mtry=7; interaction.depth=11,,,,,,,,,
Gilenya_relapse_rate,Tecfidera_relapse_rate,actual_treatment,summary_actual_treatment_effect,expect_Gilenya_relapse_rate,expect_Tecfidera_relapse_rate,expect_treatment,summary_expect_treatment_effect,AUC,Qini
0.075,0.140,-0.065,-0.086,0.101,0.147,-0.046,-0.056,0.714,0.019
0.158,0.137,0.021,-0.086,0.140,0.130,0.010,-0.056,0.714,0.019
0.081,0.110,-0.029,-0.017,0.100,0.145,-0.045,-0.055,0.641,0.004
0.154,0.166,-0.012,-0.017,0.141,0.131,0.010,-0.055,0.641,0.004
,,,,,,,,,
,,,,,,,,,
ntree=50; bag.fraction=0.1; mtry=9; interaction.depth=3,,,,,,,,,
Gilenya_relapse_rate,Tecfidera_relapse_rate,actual_treatment,summary_actual_treatment_effect,expect_Gilenya_relapse_rate,expect_Tecfidera_relapse_rate,expect_treatment,summary_expect_treatment_effect,AUC,Qini
0.091,0.154,-0.063,-0.084,0.107,0.143,-0.036,-0.036,0.697,0.011
0.146,0.124,0.022,-0.084,0.132,0.132,0.000,-0.036,0.697,0.011
0.088,0.109,-0.021,-0.001,0.107,0.143,-0.035,-0.036,0.654,0.002
0.147,0.166,-0.020,-0.001,0.133,0.132,0.001,-0.036,0.654,0.002
,,,,,,,,,
,,,,,,,,,
ntree=50; bag.fraction=0.1; mtry=9; interaction.depth=5,,,,,,,,,
Gilenya_relapse_rate,Tecfidera_relapse_rate,actual_treatment,summary_actual_treatment_effect,expect_Gilenya_relapse_rate,expect_Tecfidera_relapse_rate,expect_treatment,summary_expect_treatment_effect,AUC,Qini
0.065,0.126,-0.061,-0.088,0.101,0.143,-0.043,-0.048,0.720,0.013
0.176,0.150,0.026,-0.088,0.139,0.133,0.006,-0.048,0.720,0.013
0.096,0.114,-0.018,0.003,0.101,0.145,-0.044,-0.050,0.667,-0.002
0.140,0.160,-0.020,0.003,0.138,0.132,0.006,-0.050,0.667,-0.002
,,,,,,,,,
,,,,,,,,,
ntree=50; bag.fraction=0.1; mtry=9; interaction.depth=7,,,,,,,,,
Gilenya_relapse_rate,Tecfidera_relapse_rate,actual_treatment,summary_actual_treatment_effect,expect_Gilenya_relapse_rate,expect_Tecfidera_relapse_rate,expect_treatment,summary_expect_treatment_effect,AUC,Qini
0.068,0.134,-0.065,-0.092,0.099,0.145,-0.045,-0.049,0.723,0.017
0.170,0.143,0.027,-0.092,0.138,0.134,0.004,-0.049,0.723,0.017
0.082,0.122,-0.040,-0.039,0.099,0.146,-0.047,-0.052,0.665,0.006
0.152,0.153,-0.001,-0.039,0.138,0.133,0.005,-0.052,0.665,0.006
,,,,,,,,,
,,,,,,,,,
ntree=50; bag.fraction=0.1; mtry=9; interaction.depth=9,,,,,,,,,
Gilenya_relapse_rate,Tecfidera_relapse_rate,actual_treatment,summary_actual_treatment_effect,expect_Gilenya_relapse_rate,expect_Tecfidera_relapse_rate,expect_treatment,summary_expect_treatment_effect,AUC,Qini
0.068,0.134,-0.065,-0.092,0.099,0.145,-0.045,-0.049,0.723,0.017
0.170,0.143,0.027,-0.092,0.138,0.134,0.004,-0.049,0.723,0.017
0.082,0.122,-0.040,-0.039,0.099,0.146,-0.047,-0.052,0.665,0.006
0.152,0.153,-0.001,-0.039,0.138,0.133,0.005,-0.052,0.665,0.006
,,,,,,,,,
,,,,,,,,,
ntree=50; bag.fraction=0.1; mtry=9; interaction.depth=11,,,,,,,,,
Gilenya_relapse_rate,Tecfidera_relapse_rate,actual_treatment,summary_actual_treatment_effect,expect_Gilenya_relapse_rate,expect_Tecfidera_relapse_rate,expect_treatment,summary_expect_treatment_effect,AUC,Qini
0.068,0.134,-0.065,-0.092,0.099,0.145,-0.045,-0.049,0.723,0.017
0.170,0.143,0.027,-0.092,0.138,0.134,0.004,-0.049,0.723,0.017
0.082,0.122,-0.040,-0.039,0.099,0.146,-0.047,-0.052,0.665,0.006
0.152,0.153,-0.001,-0.039,0.138,0.133,0.005,-0.052,0.665,0.006
,,,,,,,,,
,,,,,,,,,
ntree=50; bag.fraction=0.1; mtry=10; interaction.depth=3,,,,,,,,,
Gilenya_relapse_rate,Tecfidera_relapse_rate,actual_treatment,summary_actual_treatment_effect,expect_Gilenya_relapse_rate,expect_Tecfidera_relapse_rate,expect_treatment,summary_expect_treatment_effect,AUC,Qini
0.086,0.154,-0.068,-0.097,0.104,0.151,-0.047,-0.051,0.716,0.006
0.154,0.125,0.029,-0.097,0.131,0.128,0.003,-0.051,0.716,0.006
0.117,0.150,-0.033,-0.026,0.105,0.150,-0.045,-0.047,0.679,0.000
0.119,0.126,-0.007,-0.026,0.131,0.128,0.002,-0.047,0.679,0.000
,,,,,,,,,
,,,,,,,,,
ntree=50; bag.fraction=0.1; mtry=10; interaction.depth=5,,,,,,,,,
Gilenya_relapse_rate,Tecfidera_relapse_rate,actual_treatment,summary_actual_treatment_effect,expect_Gilenya_relapse_rate,expect_Tecfidera_relapse_rate,expect_treatment,summary_expect_treatment_effect,AUC,Qini
0.086,0.159,-0.073,-0.106,0.105,0.152,-0.047,-0.047,0.731,0.014
0.155,0.122,0.033,-0.106,0.130,0.130,0.000,-0.047,0.731,0.014
0.112,0.131,-0.019,-0.001,0.104,0.152,-0.048,-0.046,0.657,-0.003
0.125,0.143,-0.018,-0.001,0.129,0.131,-0.003,-0.046,0.657,-0.003
,,,,,,,,,
,,,,,,,,,
