ntree,bag.fraction,mtry,interaction.depth,AUC_training,AUC_test,Qini_training,Qini_test,AUC_overfitting,Qini_overfitting,
50,0.1,5,3,0.706,0.677,0.012,0.002,0.029,0.011,
50,0.1,5,5,0.719,0.650,0.016,0.000,0.068,0.016,
50,0.1,5,7,0.703,0.646,0.018,0.001,0.057,0.018,
50,0.1,5,9,0.703,0.646,0.018,0.001,0.057,0.018,
50,0.1,5,11,0.703,0.646,0.018,0.001,0.057,0.018,
50,0.1,7,3,0.719,0.678,0.011,0.001,0.041,0.009,
50,0.1,7,5,0.724,0.656,0.020,0.004,0.068,0.015,
50,0.1,7,7,0.714,0.641,0.019,0.004,0.072,0.016,
50,0.1,7,9,0.714,0.641,0.019,0.004,0.072,0.016,
50,0.1,7,11,0.714,0.641,0.019,0.004,0.072,0.016,
50,0.1,9,3,0.697,0.654,0.011,0.002,0.042,0.009,
50,0.1,9,5,0.720,0.667,0.013,-0.002,0.053,0.015,
50,0.1,9,7,0.723,0.665,0.017,0.006,0.058,0.011,
50,0.1,9,9,0.723,0.665,0.017,0.006,0.058,0.011,
50,0.1,9,11,0.723,0.665,0.017,0.006,0.058,0.011,
50,0.1,10,3,0.716,0.679,0.006,0.000,0.036,0.006,
50,0.1,10,5,0.731,0.657,0.014,-0.003,0.074,0.017,
50,0.1,10,7,0.731,0.658,0.013,-0.004,0.073,0.017,
50,0.1,10,9,0.731,0.658,0.013,-0.004,0.073,0.017,
50,0.1,10,11,0.731,0.658,0.013,-0.004,0.073,0.017,
50,0.1,12,3,0.713,0.665,0.014,0.008,0.048,0.006,
50,0.1,12,5,0.723,0.663,0.020,0.009,0.060,0.011,
50,0.1,12,7,0.729,0.667,0.020,0.004,0.061,0.016,
50,0.1,12,9,0.729,0.667,0.020,0.004,0.061,0.016,
50,0.1,12,11,0.729,0.667,0.020,0.004,0.061,0.016,
50,0.3,5,3,0.755,0.646,0.034,0.002,0.110,0.033,
50,0.3,5,5,0.795,0.670,0.040,0.000,0.124,0.040,
