,coefficient,odds_ratio,p_value
(Intercept),-0.615168393614392,0.540549862499754,0.777221636242157
treatment,-17.9299103575417,1.63357421869943e-08,0.996383899377414
persist_days,0.00830567577454561,1.00834026359166,0.00186797262325835
der_sex_female,0.100608126343435,1.10584320602221,0.750332531031987
pat_region_E,0.141240997782884,1.15170217221208,0.787592181232931
pat_region_MW,-0.101051174661364,0.903886775602621,0.843003509578357
pat_region_S,0.257740561243028,1.29400306052625,0.60882186699743
pat_region_W,NA,NA,NA
idx_paytype_C,-17.3106694331354,3.03439271570209e-08,0.995015954304128
idx_paytype_M,-15.1104104282644,2.73925291015495e-07,0.995649440896187
idx_paytype_R,-33.157670774748,3.97929878922638e-15,0.992101804782653
idx_paytype_S,-17.3617992290419,2.88314443111851e-08,0.995001233363275
idx_paytype_U,NA,NA,NA
idx_prodtype_D,15.2741713674177,4300196.88754914,0.995602290964348
idx_prodtype_H,14.9370953252603,3069715.13470672,0.995699340002097
idx_prodtype_I,16.1181377440372,10000420.9396482,0.99535930031068
idx_prodtype_P,15.3997062717654,4875368.60952275,0.995566147227824
idx_prodtype_S,15.0394404722728,3400525.28170609,0.995669873287403
idx_prodtype_U,NA,NA,NA
idx_spec_01,-0.0900649216876936,0.913871853242233,0.912536563174827
idx_spec_02,0.150836658915663,1.16280670846032,0.870885680246104
idx_spec_03,0.0919076918936612,1.09626362339104,0.896452088724375
idx_spec_04,0.0615573058949601,1.0634914391113,0.930950999266703
idx_spec_05,NA,NA,NA
age_1,0.103311323423433,1.10883656214066,0.811691305597105
age_2,0.249661641108479,1.28359102876472,0.50329119012746
age_3,0.453507580014307,1.57382282482255,0.174728109266967
age_4,NA,NA,NA
pchrlson_1,-0.752696169718958,0.471094687697741,0.0536983059825957
pchrlson_2,-0.259769542176182,0.771229301151241,0.536697520685858
pchrlson_3,NA,NA,NA
num_pre_meds_1,-0.72610567728981,0.483789358218276,0.142613218170899
num_pre_meds_2,-0.472926874696466,0.623175639419329,0.209506187151232
num_pre_meds_3,-0.273773067130353,0.760504639180078,0.39260559783283
num_pre_meds_4,NA,NA,NA
num_pre_op_dx_1,-0.701777106839262,0.495703602322662,0.106693405201117
num_pre_op_dx_2,-0.5628739888043,0.56956977217571,0.143035292406929
num_pre_op_dx_3,-0.134320272797035,0.874310002047687,0.6725287707908
num_pre_op_dx_4,NA,NA,NA
pre_non_ms_total_allowed_1,-0.0203485751193709,0.979857059979612,0.964054318217417
pre_non_ms_total_allowed_2,0.19193863438249,1.21159616433678,0.60747844631875
pre_non_ms_total_allowed_3,-0.152108123495601,0.858895408946432,0.646292852401013
pre_non_ms_total_allowed_4,NA,NA,NA
pre_ms_total_allowed_1,-0.0330704038830777,0.967470443515256,0.950152425554608
pre_ms_total_allowed_2,0.121204335445194,1.1288555540046,0.717222314171759
pre_ms_total_allowed_3,-0.368751228434351,0.691597438829193,0.283240696048771
pre_ms_total_allowed_4,NA,NA,NA
pre_rx_any,-0.168725062128869,0.844741122787574,0.706634128763685
pre_comor1,0.255142752302418,1.29064585038973,0.363442695743939
pre_comor2,-0.532957742857124,0.586866599626729,0.0953704725781992
pre_comor3,0.396997741215569,1.48735257043868,0.262669986771442
pre_comor4,0.429710766227399,1.53681296104963,0.156446747072618
