Covariate,Gilenya_relapse,Gilenya_not_relapse,Gilenya_relapse_rate,Tecfidera_relapse,Tecfidera_not_relapse,Tecfidera_relapse_rate,odds_ratio,p_value
non_persistent,0,0,NaN,0,0,NaN,0,1
persistent,172,1247,0.121212121212121,188,1062,0.1504,0.779241994878783,0.0308669534855038
der_sex_female,159,1139,0.122496147919877,186,1101,0.144522144522145,0.826382162997856,0.105419476918705
der_sex_male,38,338,0.101063829787234,45,342,0.116279069767442,0.854614882486977,0.561288862086872
pat_region_E,51,428,0.106471816283925,65,418,0.134575569358178,0.766498425033654,0.198404355531881
pat_region_MW,82,502,0.14041095890411,63,493,0.113309352517986,1.27797325956025,0.182692283925433
pat_region_S,51,434,0.105154639175258,83,423,0.16403162055336,0.599197391831125,0.007044790808088
pat_region_W,13,113,0.103174603174603,20,109,0.155038759689922,0.628137439103871,0.264027551915206
idx_paytype_C,132,974,0.119349005424955,149,980,0.131975199291408,0.891409790323963,0.372527306005845
idx_paytype_M,1,6,0.142857142857143,6,7,0.461538461538462,0.209973358830271,0.328534571723426
idx_paytype_R,0,12,0,0,8,0,0,1
idx_paytype_S,64,481,0.11743119266055,75,445,0.144230769230769,0.789645403172145,0.203592647538822
idx_paytype_U,0,4,0,1,3,0.25,0,1
idx_prodtype_D,2,14,0.125,4,19,0.173913043478261,0.685164567139104,1
idx_prodtype_H,21,200,0.0950226244343891,18,139,0.114649681528662,0.811295510356496,0.607577652463848
idx_prodtype_I,1,30,0.032258064516129,6,34,0.15,0.192576466663671,0.127615114807498
idx_prodtype_P,159,1165,0.120090634441088,193,1170,0.141599413059428,0.82743006966964,0.109258842420993
idx_prodtype_S,14,65,0.177215189873418,8,75,0.0963855421686747,2.01056747716679,0.169934311379327
idx_prodtype_U,0,3,0,2,6,0.25,0,1
idx_spec_01,9,75,0.107142857142857,10,94,0.0961538461538462,1.1272726189399,0.812680285900084
idx_spec_02,6,69,0.08,8,55,0.126984126984127,0.600087553969162,0.406432553635321
idx_spec_03,82,755,0.0979689366786141,107,725,0.128605769230769,0.736043431858467,0.0533765718435723
idx_spec_04,91,539,0.144444444444444,99,536,0.155905511811024,0.914142562174,0.582455384441066
idx_spec_05,9,39,0.1875,7,33,0.175,1.08684778155661,1
age_1,32,210,0.132231404958678,37,236,0.135531135531136,0.971991464336309,1
age_2,65,437,0.129482071713147,72,381,0.158940397350993,0.787292578781995,0.197236612579764
age_3,63,537,0.105,70,497,0.123456790123457,0.833093612944579,0.356898399396669
age_4,37,293,0.112121212121212,52,329,0.136482939632546,0.799215088166938,0.363973636835907
pchrlson_1,114,1065,0.0966921119592875,146,1030,0.124149659863946,0.755254902635634,0.035387276496895
pchrlson_2,45,219,0.170454545454545,43,220,0.163498098859316,1.05121416301038,0.907100268763618
pchrlson_3,38,193,0.164502164502165,42,193,0.178723404255319,0.904956648353297,0.713627739479166
num_pre_meds_1,12,262,0.0437956204379562,24,270,0.0816326530612245,0.515852658495428,0.0839322406186453
