"","variable","num_sign_std","mean_OR_std","D_OR_std","num_retain_stepwise","num_sign_stepwise","mean_OR_stepwise","SD_OR_stepwise","num_retain_lasso","num_sign_lasso","mean_OR_lasso","SD_OR_lasso","mean_OR_std_lasso","dif_OR_14","mean_OR_stepwise_lasso","dif_OR_16"
"1","treatment",10,2.42440525248022,0,NA,0,NA,NA,NA,10,2.17307850307705,0,2.42440525248022,-0.251326749403161,NA,NA
"2","age",0,0.994635131974537,0,NA,0,NA,NA,NA,0,0.996240438601182,0,0.994635131974537,0.00160530662664504,NA,NA
"3","der_sex_female",0,0.979559348959667,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"4","pre_rx_any",0,0.737247441714667,0,NA,0,NA,NA,NA,0,0.885917080846182,0,0.737247441714667,0.148669639131515,NA,NA
"5","pre_ampyra1",0,1.25649049755283,0,NA,0,NA,NA,NA,0,1.02709591257387,0,1.25649049755283,-0.229394584978962,NA,NA
"6","pre_mri_any",0,1.00488155969729,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"7","pre_90_cort_any",0,1.19058788402392,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"8","pre_cort_oral",0,0.81584761409795,0,NA,0,NA,NA,NA,0,0.918233321216143,0,0.81584761409795,0.102385707118194,NA,NA
"9","pre_cort_iv",0,0.904229517647744,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"10","pre_relapse",0,1.04007976754897,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"11","pat_region_E",0,0.855972766549103,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"12","pat_region_MW",0,0.757297803343971,0,NA,0,NA,NA,NA,0,0.993035453371325,0,0.757297803343971,0.235737650027354,NA,NA
"13","pat_region_S",0,0.82463025444484,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"14","idx_paytype_C",10,3.03547173979051,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"15","idx_paytype_S",10,3.17524263459256,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"16","idx_prodtype_H",0,0.864899253110227,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"17","idx_prodtype_P",0,0.71546975601565,0,NA,0,NA,NA,NA,0,0.97649774495668,0,0.71546975601565,0.26102798894103,NA,NA
"18","idx_prodtype_S",0,0.70884772077164,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"19","idx_spec_01",0,0.862900864090742,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
