variable,var_description,num_sign_std,mean_OR_std,D_OR_std,num_retain_stepwise,num_sign_stepwise,mean_OR_stepwise,SD_OR_stepwise,num_retain_lasso,num_sign_lasso,mean_OR_lasso,SD_OR_lasso,mean_OR_std_lasso,dif_OR_14,mean_OR_stepwise_lasso,dif_OR_16,,
treatment,NA,12,0.862911819,0.382842794,23,13,0.680961887,0.544089467,24,8,0.859701589,0.205977382,0.745833108,0.113868481,0.646287206,0.213414383,,
age,NA,7,0.989879494,0.019133218,18,10,0.971171064,0.023747257,95,7,0.994225863,0.012528472,0.989389132,0.004836731,0.971171064,0.023054798,,
der_sex_female,Female,6,1.203395377,0.688243684,19,7,1.586975084,1.070126904,15,4,1.052020074,0.394406888,1.503293669,-0.451273595,1.594034517,-0.542014443,,
pre_rx_any,Boolean for pre-index DMT use (max of pre_rx1-pre_rx11),10,1.379334967,0.908952395,29,15,1.912368635,1.082520143,19,5,1.204373685,0.437406292,2.068851115,-0.86447743,2.216794048,-1.012420363,,
pre_ampyra1,Boolean for pre-index ampyra use,10,0.789982516,0.613941678,22,7,0.506359337,0.823256841,9,3,0.827237002,0.393792634,0.761439284,0.065797718,0.991036538,-0.163799536,,
pre_mri_any,Boolean for pre-index MRI use,9,1.259315366,1.067267485,16,7,2.109265562,2.132585779,19,5,1.171453781,0.374791237,2.173001228,-1.001547447,2.517221369,-1.345767588,,
pre_90_cort_any,Boolean for corticosteroid use within 90 days pre-index,13,1.877803656,1.036449762,50,34,2.549250832,0.962388053,63,15,1.522496685,0.39057766,2.326336202,-0.803839517,2.657906749,-1.135410063,,
pre_cort_oral,Boolean for pre-index oral corticosteroid use,10,1.36658222,0.733412981,28,18,2.050829608,0.831209596,41,9,1.378302767,0.354537785,1.917648106,-0.539345339,2.283555363,-0.905252597,,
pre_cort_iv,Boolean for pre-index iv corticosteroid use,18,1.919505053,1.124779904,44,33,2.866607836,0.994099427,72,19,1.516370151,0.383164737,2.297526022,-0.781155871,2.866607836,-1.350237685,,
pre_relapse,Boolean for presence of pre-index relapse,14,1.752716504,1.185805572,34,29,3.192289484,0.975451373,63,18,1.587795369,0.45816212,2.259395656,-0.671600287,3.221107358,-1.633311989,,
pat_region_E,Region: Northeast,6,1.523235254,1.708646361,20,12,1.413673451,1.410449532,21,7,0.959175181,0.372478073,1.797631559,-0.838456379,1.27834936,-0.319174179,,
pat_region_MW,Region: Midwest,10,1.579157571,1.886537169,18,8,1.70983867,2.468617675,13,4,1.024498694,0.411436266,2.19786019,-1.173361496,2.280853788,-1.256355094,,
pat_region_S,Region: South,3,1.258281481,1.032731701,13,6,0.926179506,1.267253711,16,2,0.924793026,0.246710794,1.047289107,-0.122496081,0.564551366,0.36024166,,
idx_paytype_C,Index Payer type: Commercial,5,41646311.01,257054174.8,32,11,14185942.44,42944952.44,13,4,0.901348227,0.356811638,808562.9017,-808562.0004,0.809428779,0.091919449,,
idx_paytype_S,Index Payer type: Self-insured,5,31642718.02,180221650.4,32,10,10920396.78,27358085.55,13,3,1.01798287,0.396559844,3344206.609,-3344205.591,918688.5738,-918687.5558,,
idx_prodtype_H,Index Provider type: Health Maintenance Organization,9,1236864.295,3460591.727,33,11,1659435.678,4712231.723,16,3,0.730702731,0.295892062,0.519675379,0.211027352,0.382941455,0.347761277,,
idx_prodtype_P,Index Provider type: Preferred Provided Organization,4,2123599.832,6852167.123,27,11,3727775.566,9160122.637,10,0,1.209698026,0.411076842,2.404385381,-1.194687355,2.568584626,-1.3588866,,
idx_prodtype_S,Index Provider type: Point of Service,3,2377439.723,10911797.11,18,5,4852358.765,11105194.63,3,1,1.441415598,0.942140075,2.169955351,-0.728539753,3.845105014,-2.403689416,,
idx_spec_01,Index Prescribing physician specialty: General practice/Family practice ,16,1719518.469,10868938.15,43,17,2703483.081,10161008.72,2,1,0.709599484,0.473256344,0.328423336,0.381176148,0.032920836,0.676678648,,
idx_spec_02,Index Prescribing physician specialty: Internal medicine,10,765299.9455,5335123.792,39,10,527224.9338,3292509.293,3,1,0.420312455,0.258866206,33498.19555,-33497.77524,0.009371571,0.410940883,,
idx_spec_03,Index Prescribing physician specialty: Neurology,18,2061588.933,12467996.46,46,33,3168686.015,11807425.94,22,5,0.848993913,0.2879833,295519.7317,-295518.8827,2.098093531,-1.249099618,,
idx_spec_04,Index Prescribing physician specialty: Other,16,4477475.329,35472296.85,34,24,7603554.767,26859458.35,24,9,1.264678237,0.383009538,15448569.38,-15448568.12,24919734.48,-24919733.21,,
pre_comor1,Boolean for pre-index symptoms and comorbidities: Numbness,10,1.315005301,0.686860841,22,15,2.064729659,0.714934829,24,9,1.328697293,0.412899554,1.964328079,-0.635630786,2.145933872,-0.817236579,,
pre_comor2,Boolean for pre-index symptoms and comorbidities: Walking (Gait),4,1.303002468,0.645133933,21,9,1.880879274,0.888964236,28,4,1.288860865,0.314287713,1.895497598,-0.606636733,2.230781201,-0.941920336, Balance, and Coordination Problems
pre_comor3,Boolean for pre-index symptoms and comorbidities: Dizziness and Vertigo,5,1.182603301,0.787240423,18,2,1.269486328,1.037733313,11,0,1.197382217,0.264197864,1.543375698,-0.345993482,1.371892734,-0.174510517,,
pre_comor4,Boolean for pre-index symptoms and comorbidities: Muscle weakness/spasm/spasticity,5,1.301531743,0.678263724,24,13,1.872785159,0.91119833,26,2,1.31611534,0.251971059,1.948977212,-0.632861872,2.488954084,-1.172838744,,
pre_comor5,Boolean for pre-index symptoms and comorbidities: Fatigue,5,1.090659923,0.491799576,16,8,1.632601856,0.843454749,23,3,1.148090694,0.24477272,1.560497856,-0.412407161,2.015403861,-0.867313166,,
