variable,num_sign_std,mean_OR_std,D_OR_std,num_retain_stepwise,num_sign_stepwise,mean_OR_stepwise,SD_OR_stepwise,num_retain_lasso,num_sign_lasso,mean_OR_lasso,SD_OR_lasso,mean_OR_std_lasso,dif_OR_14,mean_OR_stepwise_lasso,dif_OR_16,var_description
treatment,10,0.814275575591286,0.347100370510578,27,8,0.569872025177488,0.294403543192499,33,5,0.810878279452363,0.158175555195645,0.655465354051463,0.155412925400901,0.495445378143509,0.315432901308855,NA
age,7,0.992662474994244,0.0227824120427562,19,11,0.98865781296284,0.0382644168063318,96,9,0.995976838683566,0.0149964732770326,0.992309712940788,0.00366712574277805,0.98865781296284,0.00731902572072607,NA
der_sex_female,5,1.19257321020034,0.792417875112131,24,8,1.53798355837851,1.17192279143408,24,4,1.05940901267291,0.394378820922986,1.34969035175378,-0.29028133908087,1.64377782867238,-0.584368815999474,Female
pre_rx_any,10,1.45787268689509,0.936673451522139,25,10,2.1620780572958,0.968987539730591,26,6,1.24186833343793,0.413679162574238,2.17083243702175,-0.928964103583829,2.25665785032788,-1.01478951688995,Boolean for pre-index DMT use (max of pre_rx1-pre_rx11)
pre_ampyra1,7,0.744102215460671,0.561677250362656,30,8,0.514452037063119,0.68345335782321,15,2,0.753039930412429,0.345065707258245,0.900265433139698,-0.147225502727269,0.781399434506338,-0.0283595040939085,Boolean for pre-index ampyra use
pre_mri_any,4,1.08643789055753,0.658846541864077,17,5,1.83050108786927,1.1695498788882,19,2,1.18383795465443,0.455917091175278,1.67541256287757,-0.491574608223133,2.22806613219123,-1.04422817753679,Boolean for pre-index MRI use
pre_90_cort_any,17,1.86098871157501,1.20854166176353,35,27,2.91511106796804,0.918585797708825,63,16,1.52160866111751,0.500042650839677,2.34790340077733,-0.826294739659829,2.94088040158505,-1.41927174046755,Boolean for corticosteroid use within 90 days pre-index
pre_cort_oral,11,1.4009554881609,0.667452127871355,30,17,2.07164760581247,0.780971064218042,44,11,1.33399484372659,0.32286864431867,1.81349936755755,-0.479504523830954,2.36248230078393,-1.02848745705734,Boolean for pre-index oral corticosteroid use
pre_cort_iv,16,1.85295892906893,1.30953723425596,44,34,2.78408988718098,1.23555248237644,69,16,1.60173391277646,0.73207793114832,2.247851162783,-0.646117250006534,2.8852363523217,-1.28350243954523,Boolean for pre-index iv corticosteroid use
pre_relapse,8,1.66707983389283,1.41451702300673,36,27,2.86502229656744,1.62828865708721,71,19,1.41593223724128,0.501073169727458,2.00342908197103,-0.587496844729746,2.86502229656744,-1.44909005932616,Boolean for presence of pre-index relapse
pat_region_E,7,134822.102113096,1348205.09111152,26,8,527451.971803037,2689478.02762347,19,3,0.961486990619924,0.262590756548123,1.06579332385163,-0.104306333231708,1.3497169789465,-0.388229988326581,Region: Northeast
pat_region_MW,4,158818.348632492,1588166.53101947,24,9,558891.057473383,2737985.16201737,22,2,1.05909450305326,0.410304241551241,721896.012610981,-721894.953516478,1219396.0039235,-1219394.94482899,Region: Midwest
pat_region_S,5,93507.3256229831,935056.964123746,22,7,391051.548665548,1834184.23924377,18,1,1.06211601636023,0.421099638944025,1.40825389131564,-0.346137874955408,1.30274426251799,-0.240628246157756,Region: South
idx_paytype_S,6,1.14185749741765,0.520176678755578,18,7,1.22672101775164,0.793363948333711,28,4,1.09307284433473,0.328684438258295,1.3051265308903,-0.21205368655557,1.28756509665667,-0.194492252321943,Index Payer type: Self-insured
idx_prodtype_P,4,2.0687342035362,2.252151995922,22,7,3.76943664088333,3.35783238027955,20,3,1.66723146435449,1.3161010966697,3.71282708418357,-2.04559561982908,4.9062219024811,-3.23899043812661,Index Provider type: Preferred Provided Organization
idx_prodtype_S,7,3.01175467554786,3.79730420035011,25,8,5.16703132682492,5.01610563848011,12,5,1.74546921206972,1.80756561041192,5.09864292399329,-3.35317371192356,6.35158821131176,-4.60611899924204,Index Provider type: Point of Service
idx_spec_01,2,0.904556113007304,1.01900216952406,28,2,0.492623277042602,1.18141690246303,13,2,0.918482508557634,0.659982398705579,1.19887891518098,-0.28039640662335,1.13698574311693,-0.218503234559301,Index Prescribing physician specialty: General practice/Family practice 
idx_spec_02,3,1.17703344374455,1.86607479693259,26,4,1.04602709937167,2.1436915110875,9,1,1.68083482418026,2.09382402692682,2.23068318433976,-0.549848360159502,2.0081844168513,-0.327349592671038,Index Prescribing physician specialty: Internal medicine
idx_spec_04,12,1.39026190013149,0.683489196121816,25,12,1.99469253149024,0.685999423512442,32,8,1.33471944541174,0.286052987476134,1.96546133427527,-0.630741888863538,2.23402226859747,-0.899302823185734,Index Prescribing physician specialty: Other
pre_comor1,6,1.3504915225863,0.622903678134633,22,12,1.94563771119463,0.786134538191736,30,4,1.23423557147553,0.348402075870667,1.75487329988481,-0.520637728409282,2.076123032943,-0.841887461467472,Boolean for pre-index symptoms and comorbidities: Numbness
pre_comor2,3,1.30718866024334,0.637727760480376,21,5,1.87349384254835,0.706125397629329,25,4,1.36520406258972,0.387440219437474,1.81494412244202,-0.449740059852298,2.08038856012567,-0.71518449753595,Boolean for pre-index symptoms and comorbidities: Walking (Gait), Balance, and Coordination Problems
