,cor,
persistent,0.0418272634598629,0.0155051248269216
persist_days,0.0782348099073341,5.8407895995316e-06
der_sex_female,0.0310059267454311,0.0728413774176597
der_sex_male,-0.0310059267454311,0.0728413774176598
pat_region_E,-0.0137970258520146,0.424834474087963
pat_region_MW,-0.00138697884391889,0.93605965295064
pat_region_S,0.0143302062826644,0.407157624879178
pat_region_W,0.00135371084522699,0.937590153923019
idx_paytype_C,-0.00895648244884825,0.604419197456991
idx_paytype_M,0.0515782024891748,0.00283313643551941
idx_paytype_R,-0.0296793098485706,0.0859721666496133
idx_paytype_S,0.00547965535114769,0.751283608756205
idx_paytype_U,-0.000415893425610562,0.980808418193312
idx_prodtype_D,0.00845616959014394,0.624759496205027
idx_prodtype_H,-0.0263502150195436,0.127416572858803
idx_prodtype_I,-0.0128922600817323,0.455834671684864
idx_prodtype_P,0.0191023598728023,0.269165223302215
idx_prodtype_S,0.00537885755873631,0.75571169854729
idx_prodtype_U,0.00928172343934437,0.591357960344014
idx_spec_01,-0.0195576051683223,0.257917945803469
idx_spec_02,-0.0163858729946749,0.343217328821365
idx_spec_03,-0.0435823245478225,0.0116685425787644
idx_spec_04,0.0521851301626473,0.00252389753553084
idx_spec_05,0.0265609081929938,0.12440062774172
age_1,0.00784400316235346,0.650040118664156
age_2,0.0295479534385817,0.0873702826518938
age_3,-0.0303849557529764,0.0787678028035146
age_4,-0.00413915789017246,0.810786784895074
pchrlson_1,-0.08040683162118,3.18833227235749e-06
pchrlson_2,0.0506706784673752,0.00336038134157035
pchrlson_3,0.0527900468293996,0.00224668681962714
num_pre_meds_1,-0.0872560540103742,4.26880954872704e-07
num_pre_meds_2,-0.0982345249508512,1.22870878771976e-08
num_pre_meds_3,0.0424399526138279,0.0140553399120551
num_pre_meds_4,0.136557714234458,2.22044604925031e-15
num_pre_op_dx_1,-0.0939535521629887,5.14133661928681e-08
num_pre_op_dx_2,-0.0811464745815715,2.58522336538412e-06
num_pre_op_dx_3,0.0235010346193942,0.173989917175346
num_pre_op_dx_4,0.140766427174986,2.22044604925031e-16
pre_non_ms_total_allowed_1,-0.0888289460612084,2.63177860308684e-07
pre_non_ms_total_allowed_2,-0.0392499994223944,0.0231405157723123
pre_non_ms_total_allowed_3,0.0268552627626909,0.120280676987691
pre_non_ms_total_allowed_4,0.101223682720912,4.36085523247698e-09
pre_ms_total_allowed_1,-0.0516447360820979,0.0027976239527486
pre_ms_total_allowed_2,0.0144605261029874,0.402904681833157
pre_ms_total_allowed_3,0.00206578944328392,0.904890327903797
pre_ms_total_allowed_4,0.0351184205358266,0.0421651351085939
pre_non_ms_pharmacy_allowed_1,-0.0867631566179245,4.9590567830322e-07
pre_non_ms_pharmacy_allowed_2,-0.00413157888656783,0.811126695458464
pre_non_ms_pharmacy_allowed_3,0.0289210522059748,0.0942973314876259
pre_non_ms_pharmacy_allowed_4,0.0619736832985175,0.000333191823936207
pre_ms_pharmacy_allowed_1,-0.0454473677522461,0.00853727629135748
pre_ms_pharmacy_allowed_2,0.0289210522059748,0.0942973314876259
pre_ms_pharmacy_allowed_3,0.0144605261029874,0.402904681833157
pre_ms_pharmacy_allowed_4,0.00206578944328392,0.904890327903797
pre_non_ms_medical_allowed_1,-0.074368419958221,1.65142107296012e-05
pre_non_ms_medical_allowed_2,-0.0475131571955301,0.00596447346806022
pre_non_ms_medical_allowed_3,0.0144605261029874,0.402904681833157
pre_non_ms_medical_allowed_4,0.107421051050764,4.62571314585603e-10
pre_ms_medical_allowed_1,-0.0784999988447888,5.42916162512095e-06
pre_ms_medical_allowed_2,-0.0454473677522461,0.00853727629135748
pre_ms_medical_allowed_3,0.0185921049895552,0.282166219410839
pre_ms_medical_allowed_4,0.10535526160748,9.91376758463502e-10
pre_rx_any,0.024387167810256,0.158312193473735
pre_rx2,0.00580075150626171,0.737232847906526
pre_rx3,0.0634519018693608,0.000238989337588258
pre_rx4,0.0306387888681526,0.076299524224279
pre_rx5,0.00573410050492007,0.740142378072963
pre_rx6,0.00972003844479911,0.573963958207637
pre_rx7,-0.0188841064554309,0.274675012450818
pre_rx8,-0.00661763184452598,0.701890316912409
pre_rx9,-0.018737093280139,0.278429451586926
pre_rx11,0.0229901809483118,0.183539795383686
pre_comor1,0.0652288006543581,0.000158807869254041
pre_comor2,0.082638983643735,1.68405828038232e-06
pre_comor3,0.033341144485044,0.0537311112999834
pre_comor4,0.0900726750463775,1.7849443745277e-07
pre_comor5,0.0571359028258312,0.000941462971173923
pre_comor6,0.0773615975186377,7.41776631763003e-06
pre_comor7,0.0630541502909337,0.000261522729435359
pre_comor8,0.0194995854181354,0.259332984767719
pre_comor9,0.0365990822150622,0.0342080057399503
pre_comor10,0.0121341716979759,0.482760276510581
pre_comor11,0.00928589536979988,0.591191266506155
pre_comor12,0.0804321161141673,3.16565387015189e-06
pre_comor13,0.0529025214214799,0.00219832745206139
pre_comor14,0.046494464581725,0.00713004060788025
pre_comor15,0.0574755514559557,0.000877380320468468
pre_comor16,0.0793828167233974,4.24963587408733e-06
pre_comor17,0.0170175534720254,0.324932819657769
pre_comor19,0.00486310359757264,0.778491796734293
pre_comor20,-0.0180710938003213,0.295873804981854
pre_comor22,-0.0135594553838708,0.432852959505522
pre_comor23,0.0798247919643298,3.75556652487674e-06
pre_comor24,-0.0147250430872554,0.394354500463781
pre_comor25,0.0211609846617001,0.220916502475254
pre_comor26,0.00721598931110727,0.67640018632434
pre_comor27,0.00842109875004208,0.626196328230582
pre_comor28,-0.00329935832126127,0.848653779943212
pre_comor29,0.032561849190582,0.0595803193244744
pre_comor30,0.0220593282152429,0.201929582233655
pre_comor31,0.0601920244891688,0.000492717901297901
pre_comor32,0.0463620083179722,0.00729573421764318
pre_comor33,0.0486445359583975,0.00487345887229229
pre_ampyra1,0.0144960735872573,0.40174923735667
pre_mri_any,0.0504159625162241,0.00352363578519777
pre_90_mri_any,0.00962226009640363,0.5778231199051
num_pre_mri_any_1,-0.0504159625162241,0.00352363578519775
num_pre_mri_any_2,-0.0130049085737988,0.451906988174779
num_pre_mri_any_3,-0.0218982665640026,0.205243212916646
num_pre_mri_any_4,0.0992968152016614,8.53227799524348e-09
pre_90_cort_any,0.178644338774558,0
pre_cort_oral,0.135891695949346,2.88657986402541e-15
num_pre_cort_oral_1,-0.135891695949346,2.86450120426354e-15
num_pre_cort_oral_2,0.050946028442044,0.00319167015624044
num_pre_cort_oral_3,0.128489614948946,8.4821039081362e-14
pre_cort_iv,0.18492889024288,0
num_pre_cort_iv_1,-0.18492889024288,3.85762726183869e-27
num_pre_cort_iv_2,0.0615782786820337,0.000363732182165233
num_pre_cort_iv_3,0.175731801029505,0
pre_relapse,0.193485096141922,0
pre_relapse_90,0.143333786330923,0
pre_ip_relapse,0.0674299901375976,9.43754703255362e-05
num_pre_relapses_1,-0.193485096141922,1.34000138265122e-29
num_pre_relapses_2,0.0446019508902836,0.00984933099649599
num_pre_relapses_3,0.225742676039587,0
persistent_interact,-0.0170180154992305,0.324919682125441
persist_days_interact,-0.0143318002677832,0.407105444585376
der_sex_female_interact,-0.0127287270840522,0.461570544103474
der_sex_male_interact,-0.0285200190245307,0.0989548012465135
pat_region_E_interact,-0.0261451850685355,0.130405741213402
