variable,case_relapse,case_not_relapse,case_relapse_rate,control_relapse,control_not_relapse,control_relapse_rate,odds_ratio,p_value
NA,NA,NA,NA,NA,NA,NA,NA,NA
persistent_interact,172,1247,0.1212,256,1673,0.1327,0.9,0.35
NA,NA,NA,NA,NA,NA,NA,NA,NA
der_sex_female_interact,159,1139,0.1225,269,1781,0.1312,0.92,0.49
der_sex_male_interact,38,338,0.1011,390,2582,0.1312,0.74,0.1
pat_region_E_interact,51,428,0.1065,377,2492,0.1314,0.79,0.14
pat_region_MW_interact,82,502,0.1404,346,2418,0.1252,1.14,0.31
pat_region_S_interact,51,434,0.1052,377,2486,0.1317,0.77,0.12
pat_region_W_interact,13,113,0.1032,415,2807,0.1288,0.78,0.5
idx_paytype_C_interact,132,974,0.1193,296,1946,0.132,0.89,0.32
idx_paytype_M_interact,1,6,0.1429,427,2914,0.1278,1.14,1
idx_paytype_R_interact,0,12,0,428,2908,0.1283,0,0.38
idx_paytype_S_interact,64,481,0.1174,364,2439,0.1299,0.89,0.48
idx_paytype_U_interact,0,4,0,428,2916,0.128,0,1
idx_prodtype_D_interact,2,14,0.125,426,2906,0.1279,0.97,1
idx_prodtype_H_interact,21,200,0.095,407,2720,0.1302,0.7,0.14
idx_prodtype_I_interact,1,30,0.0323,427,2890,0.1287,0.23,0.17
idx_prodtype_P_interact,159,1165,0.1201,269,1755,0.1329,0.89,0.29
idx_prodtype_S_interact,14,65,0.1772,414,2855,0.1266,1.49,0.17
idx_prodtype_U_interact,0,3,0,428,2917,0.128,0,1
idx_spec_01_interact,9,75,0.1071,419,2845,0.1284,0.81,0.74
idx_spec_02_interact,6,69,0.08,422,2851,0.1289,0.59,0.29
idx_spec_03_interact,82,755,0.098,346,2165,0.1378,0.68,0
idx_spec_04_interact,91,539,0.1444,337,2381,0.124,1.19,0.16
idx_spec_05_interact,9,39,0.1875,419,2881,0.127,1.59,0.2
age_1_interact,32,210,0.1322,396,2710,0.1275,1.04,0.84
age_2_interact,65,437,0.1295,363,2483,0.1275,1.02,0.88
age_3_interact,63,537,0.105,365,2383,0.1328,0.77,0.07
age_4_interact,37,293,0.1121,391,2627,0.1296,0.85,0.43
pchrlson_1_interact,114,1065,0.0967,314,1855,0.1448,0.63,0
pchrlson_2_interact,45,219,0.1705,383,2701,0.1242,1.45,0.03
pchrlson_3_interact,38,193,0.1645,390,2727,0.1251,1.38,0.1
num_pre_meds_1_interact,12,262,0.0438,416,2658,0.1353,0.29,0
num_pre_meds_2_interact,38,519,0.0682,390,2401,0.1397,0.45,0
num_pre_meds_3_interact,58,362,0.1381,370,2558,0.1264,1.11,0.48
num_pre_meds_4_interact,89,334,0.2104,339,2586,0.1159,2.03,0
num_pre_op_dx_1_interact,9,224,0.0386,419,2696,0.1345,0.26,0
num_pre_op_dx_2_interact,22,407,0.0513,406,2513,0.1391,0.33,0
num_pre_op_dx_3_interact,70,460,0.1321,358,2460,0.127,1.05,0.78
num_pre_op_dx_4_interact,96,386,0.1992,332,2534,0.1158,1.9,0
pre_non_ms_total_allowed_1_interact,24,383,0.059,404,2537,0.1374,0.39,0
pre_non_ms_total_allowed_2_interact,37,397,0.0853,391,2523,0.1342,0.6,0
pre_non_ms_total_allowed_3_interact,58,382,0.1318,370,2538,0.1272,1.04,0.76
pre_non_ms_total_allowed_4_interact,78,315,0.1985,350,2605,0.1184,1.84,0
pre_ms_total_allowed_1_interact,34,370,0.0842,394,2550,0.1338,0.59,0
pre_ms_total_allowed_2_interact,59,439,0.1185,369,2481,0.1295,0.9,0.56
pre_ms_total_allowed_3_interact,61,425,0.1255,367,2495,0.1282,0.98,0.94
pre_ms_total_allowed_4_interact,43,243,0.1503,385,2677,0.1257,1.23,0.23
pre_non_ms_pharmacy_allowed_1_interact,28,358,0.0725,400,2562,0.135,0.5,0
pre_non_ms_pharmacy_allowed_2_interact,43,398,0.0975,385,2522,0.1324,0.71,0.05
pre_non_ms_pharmacy_allowed_3_interact,54,372,0.1268,374,2548,0.128,0.99,1
pre_non_ms_pharmacy_allowed_4_interact,72,349,0.171,356,2571,0.1216,1.49,0.01
pre_ms_pharmacy_allowed_1_interact,34,384,0.0813,394,2536,0.1345,0.57,0
pre_ms_pharmacy_allowed_2_interact,67,419,0.1379,361,2501,0.1261,1.11,0.46
pre_ms_pharmacy_allowed_3_interact,64,446,0.1255,364,2474,0.1283,0.98,0.94
pre_ms_pharmacy_allowed_4_interact,32,228,0.1231,396,2692,0.1282,0.95,0.92
pre_non_ms_medical_allowed_1_interact,26,378,0.0644,402,2542,0.1365,0.44,0
pre_non_ms_medical_allowed_2_interact,36,421,0.0788,392,2499,0.1356,0.55,0
pre_non_ms_medical_allowed_3_interact,52,373,0.1224,376,2547,0.1286,0.94,0.76
pre_non_ms_medical_allowed_4_interact,83,305,0.2139,345,2615,0.1166,2.06,0
pre_ms_medical_allowed_1_interact,24,335,0.0669,404,2585,0.1352,0.46,0
pre_ms_medical_allowed_2_interact,36,387,0.0851,392,2533,0.134,0.6,0
pre_ms_medical_allowed_3_interact,65,367,0.1505,363,2553,0.1245,1.25,0.14
pre_ms_medical_allowed_4_interact,72,388,0.1565,356,2532,0.1233,1.32,0.05
pre_rx_any_interact,149,1038,0.1255,279,1882,0.1291,0.97,0.79
pre_rx1_interact,0,0,NaN,428,2920,0.1278,0,1
pre_rx2_interact,53,338,0.1355,375,2582,0.1268,1.08,0.63
pre_rx3_interact,38,166,0.1863,390,2754,0.124,1.62,0.01
pre_rx4_interact,2,4,0.3333,426,2916,0.1275,3.42,0.17
pre_rx5_interact,17,134,0.1126,411,2786,0.1286,0.86,0.71
pre_rx6_interact,31,205,0.1314,397,2715,0.1276,1.03,0.84
pre_rx7_interact,27,249,0.0978,401,2671,0.1305,0.72,0.13
pre_rx8_interact,0,0,NaN,428,2920,0.1278,0,1
pre_rx9_interact,0,8,0,428,2912,0.1281,0,0.61
pre_rx10_interact,0,0,NaN,428,2920,0.1278,0,1
pre_rx11_interact,0,2,0,428,2918,0.1279,0,1
pre_comor1_interact,58,310,0.1576,370,2610,0.1242,1.32,0.08
pre_comor2_interact,66,289,0.1859,362,2631,0.1209,1.66,0
