response_variable,sample_proportion,model,training/test,num_actual_positive,num_actual_negative,num_crt_pred_positive,num_crt_pred_negative,true_post_rate,true_neg_rate,PPV,NPV,rate_accuracy
persistent,0.5,std,training,1334,340,1121,127,0.840329835,0.373529412,0.840329835,0.373529412,0.745519713
persistent,0.5,std,test,1335,339,1096.12,102.1,0.82106367,0.301179941,0.822305762,0.299633459,0.715782557
persistent,0.5,stepwise,training,1334,340,1123.47,119.29,0.842181409,0.350852941,0.835876141,0.361759086,0.742389486
persistent,0.5,stepwise,test,1335,339,1106.35,102.03,0.828726592,0.300973451,0.823648156,0.309478998,0.721851852
persistent,0.5,lasso,training,1334,340,1120.98,126.98,0.840314843,0.373470588,0.840314843,0.373470588,0.745495818
persistent,0.5,lasso,test,1335,339,1096.15,102.1,0.821086142,0.301179941,0.822308894,0.299670424,0.715800478
persistent,0.119474313,std,training,319,81,276.59,38.59,0.867053292,0.476419753,0.867053292,0.476419753,0.78795
persistent,0.119474313,std,test,2350,598,1885.93,159.44,0.802523404,0.266622074,0.811369768,0.255847427,0.693816147
persistent,0.119474313,stepwise,training,319,81,274.57,33.25,0.860721003,0.410493827,0.852035733,0.427310731,0.76955
persistent,0.119474313,stepwise,test,2350,598,1921.32,156.95,0.817582979,0.262458194,0.813396194,0.267929648,0.704976255
persistent,0.119474313,lasso,training,319,81,276.57,38.57,0.866990596,0.47617284,0.866990596,0.47617284,0.78785
persistent,0.119474313,lasso,test,2350,598,1885.91,159.49,0.802514894,0.266705686,0.811386302,0.255890497,0.693826323
post_relapse_persist,0.5,std,training,1334,340,1121.25,127.25,0.840517241,0.374264706,0.840517241,0.374264706,0.745818399
post_relapse_persist,0.5,std,test,1335,339,1092.34,102.57,0.81823221,0.302566372,0.822091531,0.297303243,0.713805257
post_relapse_persist,0.5,stepwise,training,1334,340,1123.01,119.8,0.841836582,0.352352941,0.836112648,0.362203339,0.742419355
post_relapse_persist,0.5,stepwise,test,1335,339,1101.41,101.75,0.825026217,0.300147493,0.822839165,0.303485771,0.718733572
post_relapse_persist,0.5,lasso,training,1334,340,1121.29,127.29,0.840547226,0.374382353,0.840547226,0.374382353,0.745866189
post_relapse_persist,0.5,lasso,test,1335,339,1092.24,102.53,0.818157303,0.302448378,0.822054145,0.297129801,0.713721625
post_relapse_persist,0.119474313,std,training,319,81,276.73,38.73,0.867492163,0.478148148,0.867492163,0.478148148,0.78865
post_relapse_persist,0.119474313,std,test,2350,598,1882.49,160.33,0.801059574,0.268110368,0.811417751,0.2553017,0.692951153
post_relapse_persist,0.119474313,stepwise,training,319,81,273.67,35.07,0.857899687,0.432962963,0.856430588,0.438702282,0.77185
post_relapse_persist,0.119474313,stepwise,test,2350,598,1897.46,159.47,0.807429787,0.266672241,0.812273793,0.261305342,0.697737449
post_relapse_persist,0.119474313,lasso,training,319,81,276.75,38.75,0.867554859,0.478395062,0.867554859,0.478395062,0.78875
post_relapse_persist,0.119474313,lasso,test,2350,598,1882.57,160.35,0.801093617,0.268143813,0.811430817,0.2553666,0.692985075
