variable,num_sign_std,mean_OR_std,D_OR_std,num_retain_stepwise,num_sign_stepwise,mean_OR_stepwise,SD_OR_stepwise,num_retain_lasso,num_sign_lasso,mean_OR_lasso,SD_OR_lasso,mean_OR_std_lasso,dif_OR_14,mean_OR_stepwise_lasso,dif_OR_16
response,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA
treatment,100,2.07937239368508,0.197407214009872,100,100,2.06194297226476,0.186891055505303,100,100,2.07933029149405,0.197391581522072,2.07937239368508,-4.21021910321784e-05,2.06194297226476,0.0173873192292873
age,2,0.995765105904453,0.00488240399231901,10,2,0.989027283265132,0.00158062352068408,100,2,0.995762664362768,0.00488182363032562,0.995765105904453,-2.44154168460575e-06,0.989027283265132,0.00673538109763649
der_sex_female,0,0.960195983661982,0.10772252496335,10,1,0.764532812500033,0.0265873482923794,100,0,0.960220808220022,0.107725087957744,0.960195983661982,2.4824558039982e-05,0.764532812500033,0.195687995719989
pre_rx_any,6,0.899568924065841,0.122293057433982,24,3,0.745056222327389,0.0241656823105822,100,6,0.899649613474427,0.122287738325584,0.899568924065841,8.06894085857435e-05,0.745056222327389,0.154593391147038
pat_region_E,0,0.915397000024527,0.148484538346388,4,0,0.880531232707307,0.300472034140982,100,0,0.915257455991755,0.148303648370316,0.915397000024527,-0.000139544032771721,0.880531232707307,0.0347262232844485
pat_region_MW,1,0.891717104297061,0.156761230739317,7,1,0.840229671900153,0.205198421497867,100,1,0.891710713719835,0.156613180999675,0.891717104297061,-6.39057722595648e-06,0.840229671900153,0.0514810418196819
pat_region_S,0,0.970055779828686,0.187811390679912,7,1,1.12753835617073,0.286142048080827,100,0,0.969920782201655,0.187666957331514,0.970055779828686,-0.000134997627030176,1.12753835617073,-0.157617573969076
idx_paytype_C,20,1.98673251764555,0.654144460337593,43,21,2.50944979698673,0.55616194932066,100,20,1.97980857611761,0.651711782233642,1.98673251764555,-0.00692394152794185,2.50944979698673,-0.529641220869123
idx_paytype_S,16,1.98606103630353,0.639451902366404,44,21,2.4619746637915,0.557619441833847,100,16,1.97941267062266,0.636983010509729,1.98606103630353,-0.00664836568087379,2.4619746637915,-0.482561993168843
idx_prodtype_H,0,0.92651424303343,0.27527091281678,8,1,0.52608770914038,0.137300497492432,100,0,0.926639099194353,0.274901955896883,0.92651424303343,0.000124856160922393,0.52608770914038,0.400551390053973
idx_prodtype_P,2,0.870267432036186,0.239603329723078,15,4,0.675883609176047,0.238872298726374,100,2,0.87052876311621,0.23930603555939,0.870267432036186,0.000261331080023686,0.675883609176047,0.194645153940163
idx_prodtype_S,0,1.0270660763244,0.381023930618463,11,2,1.22053268309498,0.772018289882453,100,0,1.02736910344914,0.380723260601154,1.0270660763244,0.000303027124731736,1.22053268309498,-0.193163579645847
idx_spec_01,4,0.762541491772609,0.384064951766144,15,5,0.810670837682596,0.775077119712697,100,4,0.767863010402735,0.382939308835736,0.762541491772609,0.00532151863012609,0.810670837682596,-0.0428078272798608
idx_spec_02,10,0.576151596076529,0.273836065140141,27,11,0.436335891182066,0.17898941828163,100,10,0.580185098754458,0.273113115986448,0.576151596076529,0.00403350267792957,0.436335891182066,0.143849207572392
idx_spec_03,10,0.576202534140471,0.206783442051332,47,20,0.628249051441277,0.215139374788713,100,10,0.580251675715507,0.20594020122548,0.576202534140471,0.00404914157503566,0.628249051441277,-0.04799737572577
idx_spec_04,7,0.627345615301304,0.212825228387828,26,6,0.544898734579297,0.249824755386075,100,7,0.631733553641589,0.211960125243824,0.627345615301304,0.00438793834028539,0.544898734579297,0.0868348190622922
pre_comor1,25,1.30231687468919,0.142655131067908,58,24,1.3722452544871,0.100174712678516,100,25,1.30237741357474,0.142636738882546,1.30231687468919,6.05388855505762e-05,1.3722452544871,-0.0698678409123592
pre_comor2,1,1.08898931876795,0.132982570945446,5,0,1.20652096300756,0.227629117172794,100,1,1.0890399119276,0.13298699149133,1.08898931876795,5.05931596512799e-05,1.20652096300756,-0.117481051079959
pre_comor3,3,0.875936371964641,0.120877424963336,16,3,0.765815514278457,0.176634712183408,100,3,0.875988225322293,0.120880063950882,0.875936371964641,5.18533576524538e-05,0.765815514278457,0.110172711043836
pre_comor4,1,0.970225358402461,0.111248104697498,3,0,0.938652381822788,0.345354985237433,100,1,0.970166070879279,0.111230716537639,0.970225358402461,-5.9287523181184e-05,0.938652381822788,0.031513689056491
pre_comor5,1,0.980182923142662,0.101845686298121,7,1,0.995539946970866,0.247415069079549,100,1,0.980166034932576,0.101835703575247,0.980182923142662,-1.68882100866075e-05,0.995539946970866,-0.0153739120382904
pre_comor6,0,1.03848785581525,0.155909215131629,2,1,0.718624580814138,0.0513818347416792,100,0,1.03840886221619,0.155866159783142,1.03848785581525,-7.89935990641588e-05,0.718624580814138,0.319784281402048
pre_comor7,5,0.902013905931614,0.146419705733121,18,8,0.698442608810701,0.0376955685916972,100,5,0.902031036116998,0.14640076672537,0.902013905931614,1.71301853840733e-05,0.698442608810701,0.203588427306297
