variable,num_sign_std,mean_OR_std,D_OR_std,num_retain_stepwise,num_sign_stepwise,mean_OR_stepwise,SD_OR_stepwise,num_retain_lasso,num_sign_lasso,mean_OR_lasso,SD_OR_lasso,mean_OR_std_lasso,dif_OR_14,mean_OR_stepwise_lasso,dif_OR_16,var_description
treatment,100,2.07106768387794,0.195431665248805,100,100,2.04989336083207,0.194245419173922,100,100,2.07102351899931,0.195434076723405,2.07106768387794,-4.41648786351223e-05,2.04989336083207,0.0211301581672396,NA
age,2,0.996924883290339,0.00539619007801981,7,2,0.995500690658796,0.0124463708091971,100,2,0.996922426692934,0.00539542376282717,0.996924883290339,-2.45659740527593e-06,0.995500690658796,0.00142173603413753,NA
der_sex_female,0,0.963079107939715,0.112684161161553,10,0,0.826485553163603,0.152623822729093,100,0,0.963107222033942,0.112665543722054,0.963079107939715,2.81140942275382e-05,0.826485553163603,0.136621668870339,Female
pre_rx_any,8,0.890459213575785,0.102987397319789,17,8,0.733448833972737,0.0378640569850887,100,8,0.890542557239159,0.102995076556062,0.890459213575785,8.33436633740359e-05,0.733448833972737,0.157093723266422,Boolean for pre-index DMT use (max of pre_rx1-pre_rx11)
pat_region_E,0,0.93672647528657,0.199318547531611,4,1,0.940966657716182,0.308900768907933,100,0,0.936558678902675,0.199078232133133,0.93672647528657,-0.000167796383894969,0.940966657716182,-0.00440797881350696,Region: Northeast
pat_region_MW,0,0.899247390321637,0.185223798491512,11,1,0.796137371544029,0.0207448957647706,100,0,0.89922777241218,0.185107996338281,0.899247390321637,-1.9617909456815e-05,0.796137371544029,0.103090400868152,Region: Midwest
pat_region_S,1,0.978022579237331,0.20556324178827,6,2,0.933153458839407,0.264407152231537,100,1,0.97786757488336,0.205428122057221,0.978022579237331,-0.000155004353970756,0.933153458839407,0.0447141160439533,Region: South
idx_paytype_C,17,1.96876145756926,0.811825636935179,41,21,2.55833616651534,0.795613961993875,100,17,1.96133541830436,0.805859565826118,1.96876145756926,-0.00742603926489349,2.55833616651534,-0.597000748210976,Index Payer type: Commercial
idx_paytype_S,18,1.96102432112702,0.756911384118227,41,16,2.50855971566013,0.731868876485053,100,18,1.95406553486191,0.751923395118338,1.96102432112702,-0.00695878626510837,2.50855971566013,-0.554494180798217,Index Payer type: Self-insured
idx_prodtype_H,2,0.868979768038801,0.268679895793173,10,6,0.529721185673006,0.0532220640525723,100,2,0.869173485619891,0.268257753420976,0.868979768038801,0.000193717581089659,0.529721185673006,0.339452299946884,Index Provider type: Health Maintenance Organization
